district,a/c_nrlm_amt_irregular,no_nulm_npa,nrlm_npa_amt,nrlm_npa_no,nrlm_o/s_amt,nrlm_o/s_no,nulm_amt_npa,o/s_no_nulm,o/s_nulm_amt,ular_nrlm_a/c_no_irreg
East Garo Hills,9.52,0,67.12,190,507.97,587,0,0,0,23
East Jaintia Hills,4.7,0,4.7,8,711.63,733,0,0,0,8
East Khasi Hills,3.6,20,25.72,50,1713.64,1793,11.41,30,22.87,6
Eastern West Khasi Hills,27.61,0,34.97,39,1223.34,824,0,0,0,15
North Garo Hills,3.45,0,84.84,206,320.69,476,0,0,0,10
Ri Bhoi,26.16,1,37.78,49,1390.2,1398,0.44,0,0,32
South Garo Hills,16.7,1,102.63,136,294.09,329,1.31,5,4.29,30
South West Garo Hills,3.35,0,6.09,9,565.34,593,0,0,0,6
South West Khasi Hills,8.47,0,11.74,9,636.51,529,0,0,0,5
West Garo Hills,48.73,22,187,274,1474.74,1527,20.62,51,44.93,106
West Jaintia Hills,24.28,4,26.47,32,1300.91,1315,5.81,10,14.49,21
West Khasi Hills,26.13,0,26.51,27,877,708,0,1,0.22,25
