district,amt_npa_sui,no_o/s_sui,no_to_of_current_st_account_male_year,of_to_year_sc_account_male_no_current,of_year_account_female_no_current,of_year_amount_female_sum_current,of_year_sc_amount_to_male_sum_current,sui_amt_%_npa,sui_amt_o/s,sui_no_npa,sui_rent_total_amount_disb_year_cur,sum_amount_of_current_to_st_male_year,year_total_no_sui_disb_current
East Garo Hills,0,1,0,0,0,0,0,0,10.12,0,0,0,0
East Jaintia Hills,33.83,32,1,0,0,0,0,3.93,860.14,1,50,50,1
East Khasi Hills,94.78,211,16,2,31,445.63,19.15,2.96,3205.78,12,605.01,140.23,49
North Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0
Ri Bhoi,68.76,39,0,0,5,90.64,0,7.74,888.92,4,90.64,0,5
South Garo Hills,0,1,0,0,0,0,0,0,22.83,0,0,0,0
South West Garo Hills,13.74,8,1,0,1,19.7,0,7.81,176.03,1,69.7,50,2
South West Khasi Hills,0,1,0,0,0,0,0,0,7.39,0,0,0,0
West Garo Hills,41.99,32,11,0,1,10.43,0,7.54,556.78,4,85.62,75.19,12
West Jaintia Hills,30.7,69,1,0,6,171.25,0,3.51,874.14,2,186.25,15,7
West Khasi Hills,0,5,0,0,2,8.41,0,0,79.04,0,8.41,0,2
