District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
East Garo Hills,6.2,147,5.56,27,655.83,698,388.08,226
East Jaintia Hills,1.32,8,10.69,8,809.96,757,133.5,69
East Khasi Hills,1.34,52,8.68,10,2135.83,2040,700.85,520
Eastern West Khasi Hills,1.51,33,11.03,10,1332.31,838,376.23,125
North Garo Hills,24.12,241,6.6,26,408.29,557,249.2,268
Ri Bhoi,2.56,48,25.06,33,1405.11,1422,426.75,183
South Garo Hills,24.18,132,22.98,38,368.12,403,121.62,129
South West Garo Hills,3.2,32,14.49,27,576.71,609,167.36,105
South West Khasi Hills,1.12,9,6.24,3,729.42,573,119.3,94
West Garo Hills,9.12,258,47.43,90,1827.89,1697,737.26,503
West Jaintia Hills,1.79,28,16.83,16,1454.65,1382,316.22,184
West Khasi Hills,1.44,17,13.24,15,943.64,734,194.46,79
