district,cy_disbursement_amt,cy_disbursement_no,outstanding_amt,outstanding_no
East Garo Hills,370.2,167,418.01,290
East Jaintia Hills,0,0,3.33,2
East Khasi Hills,799.77,1712,1284.9,4862
Eastern West Khasi Hills,4.68,4,23.71,54
North Garo Hills,0,0,93.54,87
Ri Bhoi,1263.55,3395,804.82,2702
South Garo Hills,0,0,6.92,21
South West Garo Hills,180.76,104,219.28,264
South West Khasi Hills,0.7,1,1.91,4
West Garo Hills,2475.57,4303,2017.08,3928
West Jaintia Hills,341.56,177,374.64,322
West Khasi Hills,0.36,1,132.83,73
