district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
East Garo Hills,1244.37,17901,13029,19232,18594,1821,4205,22836,30930,8094
East Jaintia Hills,4201.67,29532,20202,24526,22995,5314,9134,47183,49734,2551
East Khasi Hills,28508.77,103826,77100,77652,88577,26420,49649,119907,180926,61054
Eastern West Khasi Hills,3925.19,24205,15707,19495,17058,2058,7782,34621,39912,5291
North Garo Hills,1505.06,33601,25614,28976,47085,1255,9506,55785,59215,3430
Ri Bhoi,4895.77,47604,31365,38985,43874,8000,20375,66232,78969,12737
South Garo Hills,962.35,14846,12437,14571,12534,1701,4349,19022,27283,8261
South West Garo Hills,2106.38,29513,27108,31780,36603,1803,7154,55242,56621,1379
South West Khasi Hills,1363.72,14047,8420,11509,14076,1762,7588,18797,22467,3670
West Garo Hills,6025.09,123441,92038,99582,142727,13806,24741,191798,215479,23681
West Jaintia Hills,6317.66,51345,28849,33187,35464,8063,15949,59842,80194,20340
West Khasi Hills,2920.10,31464,25305,19365,23127,4694,9146,46383,56769,10386
