district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
East Garo Hills,263,24.81,53,390.47,10492843,103668.51,53516,2771.72,34702,100637.59,11197,345.29
East Jaintia Hills,1468,219.65,34,109.07,10092346,195805.29,179810,7169.94,75073,615268.18,18626,625.22
East Khasi Hills,87873,6466.59,1599,4276.02,91128985,1906215.58,2773840,119689.24,567833,1690894.54,836718,22526.58
Eastern West Khasi Hills,0,0.00,5,0.43,2872411,47801.84,144105,6443.87,15324,49999.61,9535,302.53
North Garo Hills,21,1.03,22,277.28,13314435,116273.10,44177,2027.39,29420,4122.91,15484,578.46
Ri Bhoi,2141,229.33,82,227.60,24145506,325037.96,368453,16377.74,72325,737875.65,119339,3072.06
South Garo Hills,0,0.00,18,59.13,7433064,65055.09,26047,1265.43,9740,51162.01,6298,218.90
South West Garo Hills,0,0.00,183,3483.07,11595030,162664.81,36667,1687.83,61238,58354.06,21447,657.45
South West Khasi Hills,82,5.20,0,0.00,2920790,37641.13,127346,4990.62,7107,43304.35,10378,319.23
West Garo Hills,1815,277.41,793,8536.97,45932090,575771.38,207662,11136.84,181660,433598.38,86424,2597.67
West Jaintia Hills,1018,136.65,513,360.90,12501766,198849.86,280095,13477.53,57011,251312.79,49294,1369.59
West Khasi Hills,56,10.27,9,5.29,6049569,92148.71,196431,8236.80,23163,35976.28,14310,468.98
