district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
East Garo Hills,0.00,0,267.83,179,0.00,0,1054.07,434,0.50,1,1322.40,614,0.00,0
East Jaintia Hills,0.00,0,2767.51,1198,0.00,0,756.65,118,75.00,1,3599.16,1317,0.00,0
East Khasi Hills,330.79,71,34750.23,13330,841.94,14,3825.49,656,2287.77,328,42036.73,14400,0.51,1
Eastern West Khasi Hills,0.00,0,3441.04,2215,0.00,0,1.71,3,0.00,0,3442.75,2218,0.00,0
North Garo Hills,0.74,1,203.63,232,0.00,0,87.33,23,2.01,2,293.71,258,0.00,0
Ri Bhoi,129.74,8,4651.57,3524,217.00,3,5322.54,720,86.09,14,10407.29,4270,0.35,1
South Garo Hills,1.03,1,255.32,333,0.00,0,38.46,9,1.13,2,295.94,345,0.00,0
South West Garo Hills,0.91,2,220.93,230,0.00,0,907.30,347,4.50,2,1133.64,581,0.00,0
South West Khasi Hills,0.00,0,1117.65,870,0.00,0,11.52,2,0.00,0,1129.17,872,0.00,0
West Garo Hills,51.25,9,2839.47,1329,0.00,1,6339.15,1632,42.95,8,9273.17,2980,0.35,1
West Jaintia Hills,3.22,1,7714.14,2397,205.00,2,92.38,14,6.00,1,8020.74,2415,0.00,0
West Khasi Hills,2.14,5,3107.24,1796,0.00,0,144.42,87,0.00,0,3253.80,1888,0.00,0
