District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
Eastern West Khasi Hills,29469,751,7138,90726,17975,5664,71894,10743
East Garo Hills,74791,2206,23053,93300,51501,3592,63980,21084
East Jaintia Hills,79869,1903,20261,115309,50390,6513,91438,27576
East Khasi Hills,382728,15488,95397,868509,244714,36231,648426,122526
North Garo Hills,93842,7573,25697,106172,59340,4412,65775,26929
Ri Bhoi,163950,3848,48183,245380,114162,11498,184410,45940
South Garo Hills,31350,1086,10273,70813,21906,1750,48816,8358
South West Garo Hills,141231,2375,45102,114501,97488,8765,72864,41368
South West Khasi Hills,30782,400,7743,66218,20444,2952,50031,9938
West Garo Hills,349311,8896,114449,393370,240653,20566,252982,99762
West Jaintia Hills,114219,2042,31510,237250,76778,8119,187693,35399
West Khasi Hills,59106,1073,13350,129738,39285,5144,102181,18748
