District,SUI Pct NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
Eastern West Khasi Hills,0,0,0,0,0,0,0,0,0,0,0,0
East Garo Hills,0,0,10.12,1,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,773.65,31,216.8,6,190.3,5,0,0,26.5,1
East Khasi Hills,2.69,19,6410.88,401,1693.34,75,1009.07,36,18.06,2,666.21,37
North Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0
Ri Bhoi,7.54,4,696.71,34,373.84,9,20,1,0,0,353.84,8
South Garo Hills,0,0,24.02,1,24,1,24,1,0,0,0,0
South West Garo Hills,0,0,89.99,5,75.9,4,0,0,0,0,75.9,4
South West Khasi Hills,0,0,7.64,1,0,0,0,0,0,0,0,0
West Garo Hills,10,4,419.7,21,136.37,5,10.12,1,0,0,126.25,4
West Jaintia Hills,1.34,1,838.39,67,453.83,12,229.58,5,0,0,224.25,7
West Khasi Hills,0,0,59.79,4,0.59,1,0,0,0,0,0.59,1
