District,Total Deposits,Total Advances,Cdr Pct,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch
East Garo Hills,44891.45,24725.87,55,7,7,1,15
East Jaintia Hills,127327.6,17640.89,14,19,3,0,22
East Khasi Hills,1906785.95,796454.86,42,49,30,107,186
North Garo Hills,31264.88,15298.72,49,7,3,0,10
Ri Bhoi,165421.3,156463.82,95,34,14,1,49
South Garo Hills,24054.26,9547.68,40,3,3,1,7
South West Garo Hills,30456.9,16254.75,53,10,3,0,13
South West Khasi Hills,25841.68,7890.31,31,6,1,0,7
West Garo Hills,196119.44,94461.88,48,18,18,4,40
West Jaintia Hills,236992.57,66280.35,28,20,21,3,44
West Khasi Hills,81843.48,32375.10,40,15,12,2,29
