District,KCC AH Renewal No.,KCC Animal Husbandry Disbursed Amt,KCC Animal Husbandry New Issued No.,KCC NPA Amt (Crops Since Inception),KCC NPA No. (Crops),Total Active KCC Crops Amt,Total Active KCC Crops No. (Since Inception),KCC Renewed Amt (Crops),KCC Renewed No. (Crops),KCC New Crop Disbursed Amt,KCC New Crop Issued No.
Eastern West Khasi Hills,1,2.91,2,260.9,681,5003.85,8074,34.56,34,585.14,615
East Garo Hills,1,0,0,542.75,1246,2581.31,3243,207.35,204,244.27,254
East Jaintia Hills,0,1.92,3,11.21,22,1490.59,2161,9.99,11,359.37,383
East Khasi Hills,17,66.93,78,2206.22,3997,18067.05,23418,1124.7,989,1748.63,1829
North Garo Hills,0,20.09,52,1179.59,2487,3710.62,4552,394.43,388,318.74,356
Ri Bhoi,27,88.57,143,7415.92,12157,24491.67,31105,1568.96,1455,1231.63,1263
South Garo Hills,0,0,0,283.31,849,1243.64,1718,54.79,56,201.16,264
South West Garo Hills,0,0,0,933.28,2321,2985.3,3993,352.05,314,296.9,324
South West Khasi Hills,9,5.21,4,57.54,129,2169.68,3085,68.95,64,392.74,443
West Garo Hills,2,10.09,5,1752.49,3898,5847.67,7887,463.25,480,553.15,618
West Jaintia Hills,1,15.06,21,680.49,1273,4752.99,5284,355.29,315,528.09,500
West Khasi Hills,10,0,2,1622.97,2640,5187.01,7801,62.84,61,556.74,600
