Sl No.,Bank Name,Ex- port No.,Ex- port Amt.,Edu- cation PS No.,Education PS Amt.,Hous- ing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renew- able No.,Renew- able Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
1,BOB,0,0,155,527.7,105,1179.71,0,0,0,0,0,0,260,1707.41
2,BOI,0,0,25,69.63,11,61.01,0,0,0,0,0,0,36,130.64
3,BOM,0,0,10,19.74,20,527.13,0,0,0,0,0,0,30,546.87
4,CAN,0,0,151,464.26,66,619.08,0,0,1,1.18,2,0.56,220,1085.08
5,CBI,0,0,159,1437.05,35,465.54,0,0,0,0,0,0,194,1902.59
6,IND,0,0,13,82.25,13,104.98,0,0,0,0,0,0,26,187.23
7,IOB,0,0,20,56.66,64,902.68,0,0,0,0,0,0,84,959.34
8,PNB,0,0,270,2135.39,218,2832.41,0,0,0,0,5,2.66,493,4970.46
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,0,0,2374,8817.06,2379,26020.69,3,4.51,372,823.07,0,0,5128,35665.33
11,UCO,0,0,18,139.63,30,296.42,0,0,0,0,238,388.24,286,824.29
12,UNI,0,0,133,617.09,13,99.56,1,1,0,0,4,0.06,151,717.71
Pub,Total,0,0,3328,14366.46,2954,33109.21,4,5.51,373,824.25,249,391.52,6908,48696.95
1,AXIS,0,0,11,69.21,15,216.57,0,0,0,0,503,199.14,529,484.92
2,BAND,0,0,0,0,0,0,0,0,0,0,2480,492.9,2480,492.9
3,FED,0,0,0,0,7,88.35,0,0,0,0,0,0,7,88.35
4,HDFC,0,0,2,4.72,99,94.79,0,0,0,0,1139,162.53,1240,262.04
5,ICICI,0,0,2,6.48,23,277.44,0,0,0,0,0,0,25,283.92
6,IDBI,0,0,7,29.7,23,287.23,0,0,0,0,0,0,30,316.93
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,0,0,22,110.11,167,964.38,0,0,0,0,4122,854.57,4311,1929.06
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,277,286.07,0,0,0,0,4698,1699.95,4975,1986.02
Small FB,Total,0,0,0,0,277,286.07,0,0,0,0,4698,1699.95,4975,1986.02
1,MLRB,0,0,421,1128.33,1551,19662.3,0,0,10,11.48,1290,2134.49,3272,22936.6
RRB,Total,0,0,421,1128.33,1551,19662.3,0,0,10,11.48,1290,2134.49,3272,22936.6
1,JUCB,0,0,0,0,148,2017.13,0,0,0,0,54,265.9,202,2283.03
2,MCAB,0,0,87,256.54,619,7231.14,123,380.08,0,0,0,0,829,7867.76
3,SCUB,0,0,11,29.05,192,2222.13,0,0,0,0,207,2979.32,410,5230.5
4,TCUB,0,0,0,0,4,19.2,0,0,0,0,244,434.64,248,453.84
Grand,Total,0,0,3869,15890.49,5912,65511.56,127,385.59,383,835.73,10864,8760.39,21155,91383.76
