district,Block Name,Sep-I No,Amt,Sep-G No,Amt,No. of Bene- ficiary,SHG No,Amt,No. of Bene- ficiary,Women SHG No,Amt,No. of Bene- ficiary
Aizawl,Tlangnuam,19,8.00,2,8.00,34,33,8.00,34,22,8.00,34
Champhai,Champhai,34,7.71,0,7.71,4,2,7.71,4,3,7.71,4
Hnahthial,Hnahthial,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Khawzawl,Khawzawl,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Kolasib,N. THINGDAWL,35,31.80,0,31.80,40,0,31.80,40,10,31.80,40
Lawngtlai,Lawngtlai,14,2.60,0,2.60,34,22,2.60,34,20,2.60,34
Lunglei,Lunglei,47,10.55,0,10.55,27,15,10.55,27,10,10.55,27
Mamit,Reiek,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Saiha,Saiha,5,5.03,0,5.03,10,8,5.03,10,6,5.03,10
Saitual,Ngopa,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Serchhip,Serchhip,48,13.50,0,13.50,42,25,13.50,42,16,13.50,42
