district,AGRICULTURE Outstanding,NPA,MSME Outstanding,NPA,OTHER PRIORITY SECTOR Outstanding,NPA,TOTAL PRIORITY SECTOR Outstanding,NPA
Aizawl,17509,9799,24067,9799,8804,9799,50380,9799
Champhai,5250,756,1707,756,710,756,7667,756
Hnahthial,953,113,229,113,161,113,1343,113
Khawzawl,2264,362,697,362,228,362,3189,362
Kolasib,6478,794,5410,794,816,794,12704,794
Lawngtlai,3829,1139,1798,1139,2420,1139,8047,1139
Lunglei,5415,674,3272,674,2180,674,10867,674
Mamit,3175,720,1713,720,475,720,5363,720
Saiha,3963,1671,1272,1671,1728,1671,6963,1671
Saitual,2856,505,815,505,197,505,3868,505
Serchhip,3897,601,1853,601,770,601,6520,601
