district,Block Name,Crop Loan No.,Amt.,Forestry & Wasteland Dev. No.,Amt.,Water Resource No.,Amt.,Farm Mechaniza tion No.,Amt.,Plantation & Horticulture No.,Amt.,Animal Husbandry No.,Amt.,Fishery No.,Amt.,Farm Credit Others No.,Amt.,Agri. Infrastruct ure No.,Amt.,Ancillary Activities No.,Amt.,TOTAL No.,Amt.
Aizawl,Tlangnuam,283,1030.76,0,1030.76,0,1030.76,0,1030.76,7,1030.76,177,1030.76,1,1030.76,68,1030.76,0,1030.76,4,1030.76,540,1030.76
Champhai,Khawbung,1,272.52,0,272.52,0,272.52,0,272.52,0,272.52,27,272.52,0,272.52,101,272.52,0,272.52,0,272.52,129,272.52
Hnahthial,Hnahthial,84,145.43,0,145.43,0,145.43,0,145.43,0,145.43,20,145.43,0,145.43,2,145.43,0,145.43,0,145.43,106,145.43
Khawzawl,Khawzawl,49,206.45,0,206.45,0,206.45,0,206.45,0,206.45,80,206.45,0,206.45,29,206.45,0,206.45,0,206.45,158,206.45
Kolasib,N. Thingdawl,0,172.28,0,172.28,0,172.28,0,172.28,0,172.28,48,172.28,0,172.28,15,172.28,0,172.28,0,172.28,63,172.28
Lawngtlai,Sangau,0,153.47,0,153.47,0,153.47,0,153.47,0,153.47,56,153.47,0,153.47,38,153.47,0,153.47,0,153.47,94,153.47
Lunglei,W. Bunghmun,0,72.20,0,72.20,0,72.20,0,72.20,0,72.20,49,72.20,0,72.20,0,72.20,0,72.20,0,72.20,49,72.20
Mamit,Zawlnuam,53,125.34,0,125.34,0,125.34,0,125.34,0,125.34,32,125.34,0,125.34,24,125.34,0,125.34,0,125.34,109,125.34
Saiha,Tuipang,0,41.83,0,41.83,0,41.83,0,41.83,0,41.83,26,41.83,0,41.83,4,41.83,0,41.83,0,41.83,30,41.83
Saitual,Phullen,1,181.04,0,181.04,0,181.04,0,181.04,0,181.04,74,181.04,0,181.04,44,181.04,0,181.04,0,181.04,119,181.04
Serchhip,Serchhip,44,395.87,0,395.87,0,395.87,0,395.87,0,395.87,91,395.87,0,395.87,42,395.87,0,395.87,0,395.87,177,395.87
