district,Block Name,.rB latoT,Small and Marginal Farmers No.,Amt.,Scheduled Castes No.,Amt.,Scheduled Tribes No.,Amt.,DRI Scheme No.,Amt.,Self Help Groups No.,Amt.,Women Beneficiaries No.,Amt.,Minority Communities No.,Amt.,PMJDY No.,Amt.,Others No.,Amt.
Aizawl,Tlangnuam,95,11357,6175.66,70,6175.66,15720,6175.66,8,6175.66,30,6175.66,8618,6175.66,3769,6175.66,149,6175.66,2146,6175.66
Champhai,Khawbung,3,462,0.00,0,0.00,0,0.00,0,0.00,157,0.00,36,0.00,0,0.00,0,0.00,0,0.00
Hnahthial,Hnahthial,5,553,0.00,1,0.00,122,0.00,0,0.00,8,0.00,79,0.00,284,0.00,0,0.00,0,0.00
Khawzawl,Khawzawl,7,656,41.88,0,41.88,160,41.88,0,41.88,59,41.88,121,41.88,157,41.88,0,41.88,17,41.88
Kolasib,N. Thingdawl,7,1078,0.00,0,0.00,0,0.00,0,0.00,65,0.00,98,0.00,0,0.00,0,0.00,0,0.00
Lawngtlai,Sangau,2,583,0.00,0,0.00,0,0.00,0,0.00,45,0.00,50,0.00,0,0.00,0,0.00,0,0.00
Lunglei,W. Bunghmun,2,235,0.00,0,0.00,0,0.00,0,0.00,4,0.00,25,0.00,0,0.00,0,0.00,0,0.00
Mamit,Zawlnuam,8,609,48.33,0,48.33,403,48.33,0,48.33,66,48.33,207,48.33,304,48.33,0,48.33,15,48.33
Saiha,Tuipang,1,309,0.00,0,0.00,0,0.00,0,0.00,37,0.00,31,0.00,0,0.00,0,0.00,0,0.00
Saitual,Phullen,5,651,0.00,0,0.00,39,0.00,0,0.00,0,0.00,104,0.00,0,0.00,0,0.00,0,0.00
Serchhip,Serchhip,12,1423,60.28,0,60.28,204,60.28,0,60.28,78,60.28,290,60.28,448,60.28,0,60.28,41,60.28
