district,Block Name,Total Br(s),NRLM O/S,Irregular,NPA,NULM O/S,NPA,PMEGP O/S,NPA,SHG O/S,NPA,SUI O/S,NPA
Aizawl,Tlangnuam,95,57,8,9,443,9,870,9,288,9,381,9
Champhai,Khawbung,3,244,32,0,0,0,14,0,317,0,0,0
Hnahthial,Hnahthial,5,11,4,0,3,0,62,0,43,0,4,0
Khawzawl,Khawzawl,8,219,14,0,14,0,81,0,299,0,4,0
Kolasib,N. Thingdawl,7,240,10,0,97,0,184,0,269,0,2,0
Lawngtlai,Sangau,2,98,1,0,0,0,49,0,102,0,0,0
Lunglei,W. Bunghmun,2,4,2,0,0,0,7,0,8,0,0,0
Mamit,Zawlnuam,8,208,33,2,38,2,200,2,238,2,8,2
Saiha,Tuipang,1,159,12,0,0,0,20,0,160,0,0,0
Saitual,Phullen,6,0,0,0,9,0,72,0,47,0,0,0
Serchhip,Serchhip,12,238,35,0,169,0,233,0,289,0,6,0
