District,Total Branch,Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renewable No.,Others No.,Total Other PS O/S No.
Aizawl,110,0,55049.98,204,5525,0,1,7984,13714
Champhai,17,0,4613.86,6,632,0,0,9,647
Hnahthial,5,0,1622.72,2,163,0,0,0,165
Khawzawl,8,0,2227.17,3,254,0,0,0,257
Kolasib,20,0,7876.27,11,775,0,0,2279,3065
Lawngtlai,12,0,16878.84,13,2061,0,0,2,2076
Lunglei,22,0,15556.22,16,1923,0,0,20,1959
Mamit,13,0,3751.07,0,457,0,0,1,458
Saiha,7,0,11041.29,6,1455,0,0,0,1461
Saitual,10,0,1341.66,4,183,0,0,0,187
Serchhip,15,0,6839.75,10,805,0,0,1,816
