district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,116,146,5.09,283,5.09,40,5.09,3,5.09,1.05
Champhai,17,131,28.96,430,28.96,69,28.96,19,28.96,2.08
Hnahthial,5,23,0,37,0,2,0,0,0,0
Khawzawl,9,103,12.51,202,12.51,24,12.51,13,12.51,2.85
Kolasib,21,81,70.33,318,70.33,35,70.33,46,70.33,10.74
Lawngtlai,12,77,36.9,194,36.9,42,36.9,41,36.9,17.04
Lunglei,23,28,0,80,0,13,0,0,0,0
Mamit,13,143,27.38,369,27.38,105,27.38,24,27.38,3.84
Saiha,7,22,46.76,322,46.76,33,46.76,29,46.76,9
Saitual,10,104,1.67,200,1.67,27,1.67,1,1.67,0.31
Serchhip,16,123,33.24,386,33.24,102,33.24,22,33.24,3.91
