district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,708.23,44,99781.93,19909,0.00,0,2443.94,264,9.68,3,102943.78,20220,0.00,0
Champhai,0.00,0,6958.51,3229,0.00,0,1.92,2,1.17,1,6961.60,3232,0.00,0
Hnahthial,12.50,1,3160.23,645,0.00,0,0.00,0,1.50,1,3174.23,647,0.00,0
Khawzawl,22.00,2,3361.60,927,0.00,0,0.00,0,0.00,0,3383.60,929,0.00,0
Kolasib,2.67,1,10366.49,4483,0.00,0,602.86,468,0.00,0,10972.52,4953,0.50,1
Lawngtlai,2107.94,379,12217.82,2072,0.00,0,22.48,2,0.90,1,14349.14,2454,0.00,0
Lunglei,400.53,67,17826.72,4550,0.00,0,15.17,5,0.00,0,18242.42,4622,0.00,0
Mamit,315.16,179,5963.94,1757,0.00,0,3.40,2,6.50,1,6289.00,1939,0.00,0
Saiha,0.00,0,5459.34,980,0.00,0,21.50,2,0.00,0,5480.84,982,0.00,0
Saitual,0.00,0,5121.71,1436,0.00,0,0.60,1,0.00,0,5122.31,1437,0.00,0
Serchhip,5.00,1,10030.78,2415,0.00,0,2.00,1,2.00,1,10039.78,2418,0.00,0
