district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,22,0,141,200,7,0,141,200,186,143,200
Champhai,5,10,0,56,0,10,0,56,53,3,56
Hnahthial,4,1,0,15,1,1,0,15,13,2,15
Khawzawl,4,2,0,29,2,2,0,29,29,0,29
Kolasib,7,14,0,90,1,14,0,90,84,6,90
Lawngtlai,5,6,0,108,1,6,0,108,108,0,108
Lunglei,7,18,0,108,1,18,0,108,99,9,108
Mamit,11,1,0,87,4,1,0,87,87,0,87
Saiha,1,7,0,55,0,7,0,55,54,1,55
Saitual,6,2,0,17,1,2,0,17,17,0,17
Serchhip,8,8,0,71,1,8,0,71,71,0,71
