district,Total Br(s),Export No.,Amt.,Education No.,Amt.,Housing No.,Amt.,Social Infra. No.,Amt.,Renew- able No.,Amt.,Others No.,Amt.,Total Other PS O/S No.,Amt.
Aizawl,132,0,102027.33,261,102027.33,5892,102027.33,658,102027.33,4,102027.33,2393,102027.33,9208,102027.33
Champhai,20,0,8023.41,11,8023.41,586,8023.41,102,8023.41,1,8023.41,28,8023.41,728,8023.41
Hnahthial,5,0,4098.77,5,4098.77,225,4098.77,40,4098.77,0,4098.77,6,4098.77,276,4098.77
Khawzawl,8,0,3530.14,8,3530.14,253,3530.14,60,3530.14,0,3530.14,0,3530.14,321,3530.14
Kolasib,26,0,11018.92,30,11018.92,824,11018.92,58,11018.92,0,11018.92,880,11018.92,1792,11018.92
Lawngtlai,13,0,23207.16,13,23207.16,2145,23207.16,66,23207.16,0,23207.16,10,23207.16,2234,23207.16
Lunglei,25,0,25260.35,26,25260.35,1954,25260.35,152,25260.35,0,25260.35,82,25260.35,2214,25260.35
Mamit,12,0,5598.77,5,5598.77,514,5598.77,26,5598.77,0,5598.77,1,5598.77,546,5598.77
Saiha,8,0,15324.65,7,15324.65,1518,15324.65,80,15324.65,0,15324.65,56,15324.65,1661,15324.65
Saitual,10,0,2597.85,16,2597.85,180,2597.85,36,2597.85,0,2597.85,6,2597.85,238,2597.85
Serchhip,19,0,11602.02,18,11602.02,827,11602.02,88,11602.02,0,11602.02,23,11602.02,956,11602.02
