district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,644.00,138,1189.42,144,1478.35,450,36.62,4036.79,1040
Kiphire,157.48,75,203.11,75,0.00,0,0.00,2.44,3
Kohima,498.26,155,810.98,166,954.55,313,32.38,2947.64,962
Longleng,195.28,80,247.76,80,0.00,0,0.00,0.00,0
Mokokchung,298.72,59,560.36,59,666.48,87,33.17,2009.10,508
Mon,865.78,85,496.25,85,0.00,0,0.00,100.94,56
Peren,114.07,55,142.69,55,0.00,0,0.00,3.91,2
Phek,193.68,95,236.93,95,0.00,0,0.00,69.90,21
Tuensang,199.05,103,268.28,107,0.00,0,0.00,2.65,2
Wokha,117.34,36,141.67,36,84.92,49,43.54,195.03,85
Zunheboto,256.97,112,370.59,112,26.42,7,19.14,138.00,76
