district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,176696,55215,20,85310,3415
Kiphire,15852,14973,4,14973,658
Kohima,97537,14199,7,21324,885
Longleng,11503,14771,5,14771,148
Mokokchung,67062,18190,8,22863,2683
Mon,45041,41765,4,41912,284
Noklak,6012,6756,2,6756,78
Peren,19846,13837,5,13837,1584
Phek,40800,20186,5,20186,1133
Tuensang,26344,31464,8,31464,737
Wokha,31949,11257,1,13473,416
Zunheboto,19097,12068,6,12441,689
