district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,514.92,166,787,1704.71,457.44,402.97,282,16.62,2425.12,1090,124.31,770,4101
Kiphire,17.60,17,74,88.76,112.66,16.95,17,16.80,100.92,104,16.71,319,1006
Kohima,135.34,84,165,244.06,6353.86,87.23,67,15.89,549.10,432,6101.37,680,3005
Longleng,2.99,3,0,0.00,68.71,2.91,5,8.14,35.76,60,68.71,194,194
Mokokchung,240.84,105,529,735.52,243.55,171.02,183,14.50,1179.47,787,34.31,474,2254
Mon,65.61,44,192,187.68,186.62,36.33,48,17.90,202.98,206,48.01,696,2022
Noklak,0.00,0,0,0.00,5.56,3.58,8,61.51,5.82,16,5.56,60,60
Peren,109.03,35,27,34.51,65.90,18.13,32,6.90,262.59,249,14.50,169,660
Phek,83.10,51,153,169.27,242.26,45.75,45,16.58,275.98,257,83.35,661,2013
Tuensang,46.70,25,92,104.22,149.18,22.08,33,12.17,181.50,200,50.49,745,1785
Wokha,80.32,50,170,217.88,122.98,25.39,41,7.06,359.87,277,31.30,366,1032
Zunheboto,32.75,22,113,128.61,184.46,28.81,28,17.11,168.41,152,86.72,485,1249
