district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,669.17,189,2052.09,932,13527.07,3557,61099.02,20446
Kiphire,7.60,1,7.51,2,4.90,1,19.93,6
Kohima,140.21,32,529.34,257,9446.74,2394,31009.36,9705
Longleng,0.73,1,3.49,4,17.00,1,25.19,4
Mokokchung,57.89,12,105.36,32,1810.88,411,11462.82,4790
Mon,48.51,9,91.99,28,1347.04,319,2745.14,906
Noklak,0.69,1,7.42,3,0.00,0,1.80,1
Peren,3.45,4,21.00,7,31.73,5,131.56,20
Phek,19.45,2,38.01,8,115.41,26,368.36,89
Tuensang,49.78,8,75.05,14,90.20,16,179.81,42
Wokha,32.26,7,93.75,29,520.06,192,1871.53,904
Zunheboto,49.19,7,78.19,20,404.04,81,1006.13,368
