district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1003.04,10970,8251,8002,16664,918,7969,7491,19221,11174
Dimapur,1003924.62,51739,42439,59413,75977,12205,44957,9039,94178,85180
Kiphire,455.99,8322,7461,9641,12846,1519,7037,5950,15783,9838
Kohima,1147.59,14798,11961,14341,19166,2931,9721,15403,26759,8157
Longleng,363.68,8598,7309,11117,19704,397,9272,15907,15907,0
Mokokchung,1554.31,17249,16404,20024,24989,4286,5834,14797,33653,12217
Mon,1462.96,26122,25456,30647,39975,3415,23824,21119,51578,30469
Niuland,83.64,2032,1569,2830,1983,348,1546,3522,3601,80
Noklak,234.91,2827,2771,1927,5328,15,1535,5598,5598,0
Peren,467.35,9111,7024,9152,16260,194,6288,16116,16135,22
Phek,1237.35,12672,10496,15126,19969,2582,6120,11781,23168,11393
Shamator,108.38,2050,1874,1645,3466,400,1113,3912,3924,12
Tseminyu,137.06,1496,869,1742,1997,267,684,2278,2365,87
Tuensang,865.98,14424,13951,9987,25875,1878,15273,3846,28375,24532
Wokha,558.97,9381,5718,8022,12756,800,3802,6109,15099,7045
Zunheboto,453.75,9628,9874,6975,13346,3636,4297,15070,19502,4433
