district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Chumoukedima,68526,86580,151154
Dimapur,201960,177966,359200
Kiphire,23441,15914,43599
Kohima,135595,119136,256618
Longleng,17972,11703,29048
Mokokchung,79702,69443,156190
Mon,66899,44624,131772
Niuland,12723,9534,19763
Noklak,6804,4708,14015
Peren,22999,17318,51008
Phek,43481,34882,88327
Shamator,3837,1935,9055
Tseminyu,9859,9793,19857
Tuensang,27542,23224,74513
Wokha,39074,31693,81009
Zunheboto,29194,28031,83389
