district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,8,12,0,22,13,39,10,14,0,20,24
Dimapur,5,9,134,41,173,270,5,11,41,148,57
Kiphire,1,3,0,15,0,32,2,1,0,4,3
Kohima,6,93,0,18,157,209,10,45,1,99,56
Longleng,4,1,0,13,8,26,2,1,0,5,3
Mokokchung,9,29,0,14,29,43,14,11,1,38,26
Mon,4,8,0,17,58,188,7,5,0,12,12
Niuland,3,0,0,5,12,18,3,0,0,3,3
Noklak,1,1,0,6,2,8,1,1,0,2,2
Peren,5,1,0,16,3,30,4,2,0,6,6
Phek,5,4,0,15,5,25,5,4,0,9,9
Shamator,1,0,0,0,1,2,1,1,0,1,2
Tseminyu,2,1,0,4,0,4,2,1,0,3,3
Tuensang,0,7,0,2,9,12,5,2,0,7,7
Wokha,2,9,0,3,17,54,6,8,0,11,14
Zunheboto,2,7,0,5,3,21,7,5,0,9,12
