district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,37063.20,55215.19,363.65,79.18,81.09,,46810.92,68089.86,0.00,80.63,92642.04,114900.78
Dimapur,21291.32,64617.56,307676.48,65.91,205.14,57.52,32305.18,31498.76,534869.53,65.74,393585.36,598673.47
Kiphire,4199.96,13999.22,0.00,150.32,164.77,,2793.92,8496.05,0.00,161.20,18199.18,11289.97
Kohima,17587.73,197351.95,1229.10,40.90,31.94,,43006.75,617863.37,0.00,32.71,216168.78,660870.12
Longleng,12570.74,0.00,0.00,192.26,0.00,,6538.41,91.47,0.00,189.61,12570.74,6629.88
Mokokchung,26767.71,59880.67,218.85,85.26,94.28,,31396.52,63510.68,0.00,91.53,86867.23,94907.20
Mon,17203.75,23470.01,0.00,117.31,104.15,,14665.47,22534.63,0.00,109.34,40673.76,37200.10
Niuland,6640.31,2818.32,0.00,59.24,33.84,,11209.65,8329.11,0.00,48.41,9458.63,19538.76
Noklak,3264.02,17.36,0.00,85.57,9.14,,3814.37,190.03,0.00,81.94,3281.38,4004.40
Peren,23175.64,1070.29,0.00,173.40,56.92,,13365.20,1880.46,0.00,159.03,24245.93,15245.66
Phek,13623.39,20559.05,0.00,76.24,116.62,,17868.54,17629.23,0.00,96.29,34182.44,35497.77
Shamator,2936.51,0.00,0.00,157.58,,,1863.46,0.00,0.00,157.58,2936.51,1863.46
Tseminyu,8481.82,632.37,0.00,129.20,33.55,,6564.71,1884.83,0.00,107.87,9114.19,8449.54
Tuensang,5961.25,31052.04,0.00,145.18,162.47,,4105.98,19112.34,0.00,159.41,37013.29,23218.32
Wokha,8980.22,29406.89,103.64,85.58,92.86,,10492.96,31667.37,0.00,91.30,38490.75,42160.33
Zunheboto,12441.16,29870.91,0.00,79.82,193.57,0.00,15587.22,15431.59,6.00,136.38,42312.07,31024.81
