district,fy_2024_25_no,amt_₹_lakh
Angul,435,7532
Balangir,221,2432
Balasore,1449,6864
Bargarh,426,5750
Bhadrak,410,5126
Boudh,77,720
Cuttack,954,14177
Deogarh,100,557
Dhenkanal,271,2370
Gajapati,44,473
Ganjam,1016,10676
Jharsuguda,231,3058
Kalahandi,116,982
Kandhamal,125,800
Kendrapara,272,3399
Keonjhar,601,10042
Khordha,1326,22105
Koraput,236,2739
Malkangiri,52,490
Mayurbhanj,516,4310
Nabarangpur,98,1330
Nayagarh,169,2178
Nuapada,119,1053
Puri,583,4323
Rayagada,111,1104
Sambalpur,451,5786
Subarnapur,235,1738
Sundargarh,630,11499
