district,empanelled_type_total_branch,target_for_fy_2023_24_target_for_fy_2024_25,bank_of_baroda_yes_psu_target,bank_of_india_yes_psu_target,bank_of_mahar_as_tra_yes_psu_target,canar_a_bank_yes_psu_target,central_bank_of_india_no_psu_target,indian_bank_yes_psu_target,indian_overse_a_s_bank_yes_psu_target,punjab_and_sind_bank_no_psu_target,punjab_nation_al_bank_yes_psu_target,state_bank_of_india_yes_psu_target,uco_bank_yes_psu_target,union_bank_of_india_yes_psu_target,bandh_an_bank_yes_pvt_target,dcb_bank_ltd_yes_pvt_target,federa_l_bank_yes_pvt_target,hdfc_bank_yes_pvt_target,icici_bank_yes_pvt_target,idbi_bank_yes_pvt_target,idfc_bank_yes_pvt_target,indus_ind_bank_yes_pvt_target,kotak_mahin_dr_a_bank_ltd_yes_pvt_target
Angul,197,129,6,3,2,4,2,3,5,1,11,24,17,8,11,1,4,10,9,3,1,3,1
Balangir,196,129,8,3,2,7,5,9,2,0,9,30,3,15,10,4,1,8,7,4,1,1,0
Balasore,284,162,5,8,1,10,3,7,4,1,13,31,22,12,17,1,5,9,5,2,2,4,0
Bargarh,187,137,6,4,1,5,2,2,4,0,11,36,14,22,11,3,1,5,6,2,1,1,0
Bhadrak,166,130,5,7,1,9,2,7,4,2,15,18,19,8,15,1,1,6,4,2,1,3,0
Boudh,52,74,2,2,2,3,3,11,0,0,2,29,2,5,5,2,0,2,2,2,0,0,0
Cuttack,475,198,7,9,2,21,7,14,4,2,16,36,16,15,11,1,1,16,8,4,3,3,2
Deogarh,44,64,2,2,2,4,11,2,2,0,4,13,2,10,2,2,0,2,2,2,0,0,0
Dhenkanal,151,131,8,3,1,11,1,1,3,0,9,35,19,8,9,1,1,12,4,3,1,0,1
Gajapati,69,66,1,1,1,7,1,5,1,0,11,20,1,7,3,1,0,1,4,1,0,0,0
Ganjam,471,226,6,13,2,17,3,13,18,1,15,56,6,34,9,3,1,13,9,3,2,1,1
Jagatsinghpur,174,119,3,4,2,11,4,9,3,1,11,21,13,9,6,2,2,5,6,3,1,2,1
Jajpur,235,160,9,5,2,12,5,15,6,2,12,26,9,16,14,1,1,10,5,4,1,5,0
Jharsuguda,105,104,4,4,1,4,5,7,2,0,8,24,11,7,5,0,0,8,8,3,1,1,1
Kalahandi,172,139,6,4,1,8,2,4,6,0,7,55,6,8,9,4,1,7,6,3,1,1,0
Kandhamal,78,65,1,1,1,1,1,1,0,0,3,35,7,4,3,2,0,3,1,1,0,0,0
Kendrapara,147,149,9,8,1,16,3,11,1,0,16,33,9,9,3,3,1,9,7,6,1,3,0
Keonjhar,229,143,8,38,2,6,3,3,3,0,9,25,5,9,7,1,0,6,6,3,2,5,2
Khordha,755,208,10,13,4,14,6,13,8,2,21,36,10,17,7,2,1,16,12,4,3,6,3
Koraput,148,92,2,3,2,3,1,5,6,0,4,23,1,11,6,3,0,10,10,1,0,1,0
Malkangiri,60,70,5,2,2,2,2,2,0,0,4,20,3,7,3,2,0,7,5,2,0,2,0
Mayurbhanj,295,158,4,46,1,14,1,2,3,1,15,28,4,10,11,2,1,5,5,2,1,2,0
Nabarangpur,90,60,4,1,1,2,1,1,1,0,5,16,1,5,7,2,0,3,8,1,0,0,0
Nayagarh,142,119,14,5,1,14,3,6,7,0,10,18,10,11,10,1,0,4,3,1,1,1,0
Nuapada,75,63,3,3,1,4,3,3,0,0,4,21,3,4,4,3,0,3,2,2,0,0,0
Puri,247,182,13,11,1,17,3,7,7,1,20,32,16,15,17,0,0,8,5,3,2,3,1
Rayagada,113,110,3,2,2,3,1,5,12,0,3,40,2,9,9,3,0,3,8,3,0,2,0
Sambalpur,208,103,4,4,2,7,3,2,1,1,12,25,6,11,6,1,1,8,4,2,1,1,1
Subarnapur,84,101,7,2,2,5,2,2,2,0,9,32,2,11,9,2,0,5,2,5,0,2,0
Sundargarh,279,209,8,14,2,12,9,4,2,1,23,63,10,10,10,2,1,12,14,2,2,6,2
