district,total_no_of_pmjdy_accounts_2021_22,2022_23,2023_24,total_no_pmjdy_accounts_male_2021_22,2022_23,2023_24,total_no_pmjdy_accounts_female_2021_22,2022_23,col_10
Angul,572445,615515,633273,358894,280462,293753,367584,335053,339520
Balangir,266480,1077669,1106368,451608,477217,520653,415791,600452,585715
Balasore,1009023,1341677,1509713,794642,548272,664975,962818,793405,844738
Bargarh,1245903,820715,868194,403723,381299,403074,391213,439416,465120
Bhadrak,774424,939716,1074888,503860,409544,473513,574779,530172,601375
Boudh,877840,282246,294790,200588,129025,111639,258285,153221,183151
Cuttack,920750,1006480,1088120,530662,436004,491127,587735,570476,596993
Deogarh,125666,132160,147578,120473,61036,40798,158357,71124,106780
Dhenkanal,613152,660321,698788,345568,292392,303017,386994,367929,395771
Gajapati,228411,255761,269865,216712,113412,91523,267204,142349,178342
Ganjam,1264098,1377550,1392131,543278,570347,578602,668783,807203,813529
Jagatsinghpur,503648,542099,597652,369839,235566,239723,456809,306533,357929
Jajpur,898274,962789,1040144,541968,408840,473802,594533,553949,566342
Jharsuguda,222538,235023,250543,138513,107329,90694,160482,127694,159851
Kalahandi,659301,711395,749012,281490,304598,302449,347033,406797,446563
Kandhamal,268680,291172,320174,144875,122544,109020,193850,168628,211156
Kendrapara,624119,666707,751495,402011,278675,361342,386238,388032,390153
Keonjhar,667283,714553,773923,1099002,308995,346278,1510143,405558,427645
Khordha,805697,865341,933923,460200,401135,435377,462248,464206,498546
Koraput,667211,736863,760390,241926,339556,328445,249737,397307,431947
Malkangiri,296538,330823,358222,164561,150610,159861,132326,180213,198361
Mayurbhanj,954641,1047330,1176581,560522,462843,535699,604585,584487,640883
Nabarangpur,721884,772801,807220,329882,357016,410352,225392,415785,396868
Nayagarh,451141,481209,507134,262831,216034,238008,232829,265175,269127
Nuapada,362370,386553,407791,143738,173638,162258,144746,212915,245533
Puri,677232,725822,729190,339053,317090,314230,378662,408732,414960
Rayagada,355681,393068,411162,139143,170722,152028,158867,222346,259134
Sambalpur,410920,434787,448500,180115,186363,169886,207971,248424,278614
Subarnapur,365394,392893,414360,184679,181213,188616,142933,211680,225744
Sundargarh,729920,783512,821305,361984,342217,353014,399617,441295,468283
