district,nodal_bank_d,progress_as_on_29102024_digital_coverage_for_individuals_savings_accounts_mobile,pct_coverag_e_p,out_of_total_no_of_women_q,pct_coverag_e_for_r,aeps_coverage_total_no_of_accounts_covered_s,pct_coverag_e_t,out_of_total_no_of_women_u,pct_coverag_e_for_v,"coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverag_e_x,out_of_total_no_of_women_y,pct_coverag_e_for_z,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a
Angul,UCO Bank,649924,46,210960,35,1194884,84,497099,82,1422301,99.79,602821,99.99,93206
Balasore,UCO Bank,1026424,41,389423,33,2138199,85,970068,83,2512094,99.77,1165361,99.93,127843
Bargarh,State Bank of India,410884,29,136694,23,1257189,90,512130,87,1397511,100.00,590063,100.00,37035
Bhadrak,UCO Bank,670160,39,280092,34,1395571,80,635793,76,1733180,99.80,834248,99.91,73116
Boudh,Indian Bank,115090,25,37306,19,423493,92,180122,90,459598,100.00,200964,100.00,14531
Deogarh,Central Bank of India,116155,35,36295,25,303462,90,119166,83,336626,100.00,143078,100.00,17436
Dhenkanal,UCO Bank,483345,38,166789,28,1117831,87,509848,85,1283142,99.68,595965,99.92,58075
Gajapati,Union Bank of India,140443,26,41266,17,459377,85,205639,84,540470,100.00,245760,100.00,35466
Jagatsinghpur,UCO Bank,554958,41,198145,34,1072420,80,463365,79,1342595,99.70,587348,100.00,60250
Jajpur,Union Bank of India,878777,40,305876,28,1678570,76,787203,73,2192281,99.82,1081780,99.96,123608
Jharsuguda,State Bank of India,358878,49,120658,39,622499,86,263283,85,727270,100.00,308528,100.00,24540
Kalahandi,State Bank of India,362313,29,115869,22,1112465,91,474912,90,1229096,100.00,528333,100.00,51087
Kandhamal,State Bank of India,180612,31,61402,23,530184,91,244250,91,582136,100.00,268839,100.00,19233
Kendrapara,Punjab National Bank,517965,36,259723,43,1219385,85,519843,86,1430512,99.99,607396,100.00,75788
Keonjhar,Bank of India,544958,28,161814,18,1687624,87,754903,84,1943465,99.95,895704,99.34,150716
Khordha,State Bank of India,2217704,62,784241,50,2642526,74,1154730,74,3586084,99.93,1569704,99.99,212537
Koraput,State Bank of India,317087,29,100170,21,970697,90,436599,91,1081142,100.00,479838,100.00,40015
Malkangiri,State Bank of India,109932,24,30554,15,421772,92,185955,92,457236,100.00,202329,100.00,33264
Mayurbhanj,Bank of India,591151,25,195729,18,2099575,88,958850,87,2381021,99.89,1102266,99.99,250398
Nabarangpur,State Bank of India,162420,19,48895,12,828460,96,371773,94,865806,100.00,397417,100.00,46752
Nayagarh,Canara Bank,371032,34,126741,27,901463,82,374365,79,1101466,99.88,476050,99.97,93958
Nuapada,Canara Bank,140899,24,43987,17,538512,92,232378,90,588308,100.00,256822,100.00,24161
Puri,Uco Bank,718674,40,284075,35,1464199,82,641845,78,1786447,99.83,820845,99.87,159289
Rayagada,Indian Overseas Bank,291936,34,99098,25,768173,90,352936,90,855894,100.00,392939,100.00,34592
Subarnapur,State Bank of India,161103,27,45085,16,534602,88,235818,86,604797,100.00,274276,100.00,21775
Sundargarh,Punjab National Bank,936733,43,344665,35,1798767,84,783837,80,2153444,100.00,980085,100.00,80176
