district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,1650.06,1109.46,67.24,39.26,2.91,7.42,99.86,101.89,102.03,38.46,10.28,26.72,10.22,3.81,37.28,86.34,52.71,61.05,53.82,37.04,68.82,48.78,49.16,100.78
Balangir,2305.88,1625.17,70.48,30.02,415.08,1382.80,208.79,149.65,71.67,28.38,972.70,3427.18,17.07,3.23,18.90,94.06,69.36,73.74,109.56,43.54,39.74,105.53,50.55,47.90
Balasore,2523.36,1629.23,64.57,73.08,2.67,3.65,163.21,237.00,145.22,214.96,25.77,11.99,4.47,7.65,171.19,140.40,72.58,51.70,78.37,32.51,41.48,12.32,74.47,604.23
Bargarh,3694.49,2147.08,58.12,119.18,2.13,1.79,355.67,114.53,32.20,106.33,17.71,16.66,22.76,4.97,21.83,140.09,48.09,34.33,100.56,25.90,25.76,119.61,63.44,53.04
Bhadrak,2071.46,1299.28,62.72,34.97,1.48,4.24,51.36,201.91,393.16,66.49,15.24,22.92,13.78,7.64,55.42,93.08,49.51,53.19,66.41,31.34,47.19,106.12,54.47,51.33
Boudh,874.03,564.96,64.64,5.65,0.38,6.71,42.72,52.15,122.08,16.75,1.92,11.49,2.53,1.76,69.65,17.78,11.53,64.84,24.16,7.15,29.60,51.19,3.10,6.05
Cuttack,2145.22,1737.95,81.02,36.13,7.96,22.03,214.10,294.68,137.64,78.50,24.12,30.73,2.25,11.38,506.56,238.46,169.71,71.17,127.68,87.76,68.73,180.00,135.71,75.39
Deogarh,565.51,298.30,52.75,6.06,0.29,4.86,28.01,50.18,179.18,24.08,0.36,1.49,2.44,0.56,23.09,6.44,4.25,66.07,4.53,2.44,53.93,15.27,0.88,5.75
Dhenkanal,1358.45,926.88,68.23,71.81,1.79,2.49,129.09,106.81,82.74,152.61,9.97,6.53,8.43,3.52,41.78,81.62,23.79,29.15,41.65,34.45,82.72,23.08,8.33,36.09
Gajapati,506.32,327.79,64.74,11.25,2.06,18.28,23.44,35.34,150.78,24.19,3.29,13.60,8.88,2.12,23.88,20.70,13.34,64.43,11.93,9.55,80.05,21.57,19.45,90.13
Ganjam,3397.92,3011.71,88.63,63.05,15.94,25.28,303.89,333.51,109.74,174.83,41.91,23.97,12.29,37.21,302.75,315.11,245.89,78.03,388.93,202.24,52.00,224.86,133.73,59.47
Jagatsinghpur,1267.51,914.27,72.13,15.11,3.06,20.26,74.50,214.37,287.76,43.20,5.81,13.45,1.26,3.05,242.74,76.98,80.07,104.01,31.07,57.38,184.69,13.61,67.57,496.53
Jajpur,2418.33,1731.36,71.59,33.02,4.62,13.99,168.01,277.06,164.90,37.45,27.89,74.47,12.72,4.24,33.31,128.43,105.34,82.02,88.88,49.20,55.36,562.27,221.46,39.39
Jharsuguda,644.92,365.04,56.60,26.61,0.44,1.65,237.93,30.28,12.73,12.50,7.86,62.85,1.18,1.15,97.44,25.43,21.16,83.23,21.01,14.80,70.43,9.38,13.26,141.41
Kalahandi,1676.10,1241.27,74.06,16.56,3.43,20.68,356.66,128.23,35.95,103.08,8.97,8.70,8.20,4.14,50.51,31.28,20.41,65.24,21.81,13.34,61.17,8.67,15.32,176.79
Kandhamal,695.72,504.25,72.48,34.43,1.03,2.98,46.94,17.02,36.26,35.89,3.43,9.56,5.30,1.77,33.38,7.38,10.21,138.42,25.72,4.80,18.66,36.88,0.73,1.99
Kendrapara,2091.31,1776.29,84.94,51.11,4.03,7.88,59.58,190.49,319.72,57.62,4.36,7.57,5.88,5.22,88.79,142.25,28.21,19.83,28.02,17.23,61.48,28.85,22.66,78.56
Keonjhar,1389.27,890.10,64.07,45.07,2.48,5.51,161.87,133.58,82.53,99.45,10.00,10.05,9.63,2.42,25.13,96.54,55.13,57.11,149.45,33.85,22.65,89.98,87.95,97.74
Khordha,1966.30,2485.81,126.42,86.36,11.57,13.40,382.85,631.32,164.90,567.16,34.88,6.15,24.92,75.68,303.71,419.05,176.37,42.09,364.68,120.60,33.07,125.44,113.68,90.62
Koraput,1491.01,827.17,55.48,14.22,1.77,12.43,28.22,102.11,361.87,80.91,1.82,2.25,12.30,8.87,72.05,71.78,15.61,21.74,38.94,23.40,60.09,26.36,8.35,31.69
Malkangiri,401.68,348.64,86.79,13.72,0.48,3.46,29.99,23.11,77.06,21.72,1.54,7.09,10.06,2.27,22.59,22.65,4.74,20.91,9.19,3.67,39.95,5.95,4.63,77.72
Mayurbhanj,1772.88,1145.07,64.59,52.32,1.92,3.68,154.07,189.44,122.96,66.00,21.33,32.32,5.82,3.48,59.80,102.39,76.02,74.24,42.09,36.31,86.26,86.83,67.62,77.87
Nabarangpur,948.16,644.52,67.98,31.97,1.64,5.13,45.03,58.00,128.78,19.82,3.58,18.08,16.37,2.23,13.59,74.00,16.50,22.29,8.73,19.87,227.74,1.58,6.76,428.73
Nayagarh,1581.58,1265.40,80.01,31.57,4.54,14.39,94.07,105.35,111.99,96.75,9.00,9.30,4.17,3.50,83.98,71.49,81.67,114.24,55.54,51.28,92.32,25.32,20.29,80.14
Nuapada,544.66,391.60,71.90,33.42,0.44,1.31,53.85,40.21,74.66,19.80,3.45,17.44,8.56,1.28,14.94,14.10,84.92,602.42,22.71,93.63,412.23,9.66,25.00,258.95
Puri,1868.25,1908.05,102.13,78.64,8.90,11.31,129.41,136.83,105.73,73.19,18.77,25.65,3.38,6.69,197.68,187.50,247.14,131.81,56.27,141.92,252.22,8.08,106.23,1314.06
Rayagada,778.45,607.25,78.01,29.41,1.16,3.94,36.58,28.46,77.80,30.35,9.84,32.42,9.45,1.53,16.17,32.99,161.96,490.87,57.14,145.93,255.38,22.69,61.73,272.06
Sambalpur,1788.54,955.79,53.44,39.30,2.25,5.72,146.88,101.45,69.07,85.22,11.32,13.29,12.30,6.30,51.19,51.73,99.39,192.14,53.65,86.62,161.46,183.22,52.27,28.53
Subarnapur,976.27,667.48,68.37,12.96,2.05,15.82,94.43,48.00,50.83,23.50,10.52,44.76,7.85,2.13,27.07,41.10,31.58,76.84,28.64,29.71,103.73,11.89,33.47,281.46
Sundargarh,2520.06,1554.31,61.68,58.70,1.86,3.17,728.42,130.22,17.88,58.87,17.87,30.36,32.40,10.74,33.13,76.74,83.20,108.42,53.48,27.25,50.95,22.69,43.80,193.03
