district,branches_rural,semi_urban,urban,total_branch_es,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgen_der_bcs,out_of_total_bcs_wshg_membe_rs,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,113,85,5,203,829,129,125,1083,773,310,0,147,755,809,77,183,8,268
Balangir,104,97,5,206,1324,505,202,2031,1642,389,0,125,1535,1760,31,174,4,209
Balasore,179,65,55,299,1772,327,304,2403,1638,759,0,302,1924,1987,104,97,168,369
Bargarh,126,76,5,207,980,181,53,1214,914,298,0,97,928,963,56,142,12,210
Bhadrak,113,26,34,173,1258,137,184,1579,1123,438,0,154,1287,1278,53,32,155,240
Boudh,33,22,0,55,257,60,0,317,244,67,0,45,269,297,4,47,0,51
Cuttack,244,38,222,504,1772,86,631,2489,1760,727,0,109,1973,2036,171,69,401,641
Deogarh,24,19,1,44,167,51,3,221,156,68,0,41,175,200,9,34,0,43
Dhenkanal,96,58,1,155,630,123,3,756,540,215,0,104,581,570,56,119,4,179
Gajapati,42,24,2,68,323,104,2,429,284,147,0,115,340,369,28,54,5,87
Ganjam,218,156,112,486,2334,378,456,3168,2450,761,0,200,2499,2722,119,220,269,608
Jagatsinghpur,117,56,2,175,1357,131,281,1769,1266,502,0,125,1453,1473,82,143,3,228
Jajpur,175,64,2,241,1922,207,329,2458,1857,635,0,151,1962,1983,131,187,2,320
Jharsuguda,39,69,3,111,210,76,33,319,233,84,0,33,213,228,11,126,5,142
Kalahandi,108,67,3,178,1384,132,132,1648,1426,219,0,85,1324,1420,79,87,1,167
Kandhamal,42,42,0,84,354,206,0,560,433,126,0,83,391,490,10,79,0,89
Kendrapara,104,47,1,152,664,216,72,952,615,337,0,152,684,775,64,134,3,201
Keonjhar,128,108,0,236,1315,164,282,1761,1426,335,0,110,1463,1462,68,205,1,274
Khordha,184,71,520,775,1564,152,1442,3158,2149,1004,0,96,2649,2831,146,164,934,1244
Koraput,85,68,6,159,1329,144,137,1610,1372,234,0,82,752,1453,28,140,3,171
Malkangiri,42,22,2,66,385,78,1,464,372,90,0,57,331,350,13,40,0,53
Mayurbhanj,207,52,52,311,1685,225,502,2412,1746,661,0,286,1809,2071,114,98,106,318
Nabarangpur,63,41,2,106,435,186,6,627,495,126,0,89,447,585,8,63,1,72
Nayagarh,91,44,0,135,912,385,141,1438,1153,284,0,129,976,1227,73,83,0,156
Nuapada,46,33,0,79,442,63,1,506,388,113,0,85,357,459,31,44,0,75
Puri,161,30,62,253,1550,132,486,2168,1618,555,0,159,1704,1875,108,49,155,312
Rayagada,72,44,2,118,505,63,25,593,498,93,0,40,364,458,36,93,1,130
Sambalpur,82,34,100,216,446,74,514,1034,821,209,0,80,809,840,28,46,173,247
Subarnapur,54,31,2,87,578,114,68,760,654,98,0,44,589,637,17,76,1,94
Sundargarh,134,55,112,301,868,170,140,1178,797,378,0,114,901,910,90,119,195,404
