district,"coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_a,pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts,pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no,pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Angul,893985,95.85,408256,97.82,90354,25043,18020,71.96,6415.106383,25.62,12978,51.82,22777,90.95,1905
Balangir,882068,96.69,440881,97.53,51999,22726,16930,74.50,4448,19.57,8696,38.26,19928,87.69,1996
Balasore,1496065,97.36,724789,98.18,100291,36162,25210,69.71,8487.515528,23.47,17024,47.08,32849,90.84,1835
Bargarh,1051899,97.47,590334,98.20,111241,24336,14998,61.63,6348,26.08,10915,44.85,20906,85.91,3496
Bhadrak,1052382,96.97,565841,98.37,71338,25507,17854,70.00,4826.719424,18.92,11401,44.70,22192,87.00,1006
Boudh,335249,96.87,194417,97.23,15972,6088,3944,64.78,1446.848148,23.77,2819,46.30,5168,84.89,508
Cuttack,2040604,96.58,1053791,97.69,99350,65227,44159,67.70,17228,26.41,31251,47.91,55827,85.59,7579
Deogarh,161630,95.92,81416,96.03,10371,3410,2230,65.40,1131,33.17,1404,41.17,2905,85.19,209
Dhenkanal,711299,97.54,343758,98.27,53834,14783,9654,65.30,3808,25.76,6525,44.14,12568,85.02,1243
Gajapati,372281,95.22,198419,95.73,21358,6117,3084,50.42,1716.888889,28.07,2174,35.54,4197,68.61,545
Ganjam,2153860,96.41,1060246,98.14,361844,52036,35648,68.51,12505.14516,24.03,23926,45.98,45456,87.35,4107
Jagatsinghpur,827551,95.65,410560,97.53,37191,17745,8591,48.41,4962.477612,27.97,7865,44.32,12795,72.10,3240
Jajpur,1595869,96.36,910055,97.64,93874,35286,23771,67.37,6848,19.41,14367,40.72,29311,83.07,4135
Jharsuguda,463288,97.65,217954,98.11,25259,15652,11861,75.78,4256,27.19,8759,55.96,14280,91.23,1010
Kalahandi,820932,98.00,418036,98.54,49752,14949,10314,68.99,3636,24.32,5340,35.72,13123,87.79,1280
Kandhamal,394810,97.59,203407,98.20,13057,7976,5650,70.84,1796,22.52,2242,28.11,6986,87.59,400
Kendrapara,932084,96.82,468460,97.86,87651,16182,10157,62.77,4994,30.86,6607,40.83,13479,83.30,2248
Keonjhar,1016454,97.76,561597,98.62,82482,37225,24292,65.26,5566.863636,14.95,14118,37.93,27799,74.68,2425
Khordha,2786429,97.25,1270078,98.41,176430,124191,87257,70.26,35616,28.68,60663,48.85,108404,87.29,15296
Koraput,663492,96.36,330356,97.49,50994,27750,14498,52.25,3907,14.08,8114,29.24,16549,59.64,1201
Malkangiri,287004,96.96,155518,97.82,39125,5997,4592,76.57,1260,21.01,2437,40.64,5377,89.66,389
Mayurbhanj,1075554,94.68,555018,98.26,51382,21327,14398,67.51,5818,27.28,7953,37.29,18968,88.94,1227
Nabarangpur,385070,97.52,200924,98.21,21890,9374,6526,69.62,2368,25.26,4036,43.06,7817,83.39,405
Nayagarh,587733,96.17,295499,98.68,121188,11684,6340,54.26,3133,26.81,4714,40.35,9230,79.00,460
Nuapada,416996,97.60,208001,98.13,87501,7375,4841,65.64,2055.6,27.87,2831,38.39,6246,84.69,1309
Puri,1196557,96.52,673609,98.49,83912,27278,16666,61.10,7885,28.91,11472,42.06,23019,84.39,3405
Rayagada,577743,96.39,298738,98.09,30044,12184,8388,68.84,3347,27.47,4511,37.02,10698,87.80,806
Sambalpur,813603,95.95,418978,97.55,46279,22397,16008,71.47,5637.357143,25.17,10712,47.83,19879,88.76,1660
Subarnapur,405020,97.32,208849,97.75,50384,7978,5160,64.68,2392.753846,29.99,3211,40.25,6683,83.77,500
Sundargarh,1807837,96.81,1008748,99.28,81634,42462,31629,74.49,8610,20.28,17718,41.73,38173,89.90,3339
