district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,680.00,499.41,73.44,382.50,268.22,70.12,0.00,250.88,,275.83,1.62,0.59,0.00,5.33,,5177.22,2473.18,47.77
Balangir,307.70,309.26,100.51,1156.00,109.68,9.49,1119.45,297.73,26.60,0.00,4.01,,0.00,5.14,,3090.20,1709.83,55.33
Balasore,824.50,706.57,85.70,1041.25,384.82,36.96,1173.00,547.55,46.68,113.52,5.43,4.78,0.00,12.15,,5020.48,3824.03,76.17
Bargarh,302.12,328.51,108.74,389.24,84.57,21.73,254.20,51.95,20.44,0.00,1.52,,0.00,3.01,,2862.67,1545.11,53.97
Bhadrak,0.00,253.59,,127.50,73.83,57.90,0.00,103.82,,30.56,3.08,10.07,0.00,6.06,,2004.00,1367.20,68.22
Boudh,137.70,59.67,43.34,25.50,7.61,29.85,0.00,12.91,,0.00,0.53,,0.00,2.46,,442.34,233.88,52.87
Cuttack,994.50,1318.82,132.61,1517.25,787.68,51.91,2320.50,1029.09,44.35,0.00,5.80,,0.00,22.86,,8645.86,6614.46,76.50
Deogarh,35.90,15.51,43.21,21.25,0.00,0.00,49.00,0.00,0.00,4.00,0.65,16.29,8.00,1.09,13.67,227.82,110.60,48.55
Dhenkanal,516.12,169.03,32.75,390.15,86.68,22.22,476.85,39.42,8.27,0.00,1.71,,0.00,1.83,,2106.32,797.43,37.86
Gajapati,136.00,40.42,29.72,51.94,1.74,3.35,53.55,10.96,20.46,9.56,0.29,3.06,0.00,2.27,,542.68,232.19,42.79
Ganjam,2635.00,1207.05,45.81,637.50,284.17,44.58,1071.00,406.73,37.98,0.00,7.11,,0.00,9.66,,7811.81,4558.35,58.35
Jagatsinghpur,90.10,200.87,222.94,55.25,13.74,24.87,58.65,27.25,46.46,283.08,1.04,0.37,0.00,7.66,,2131.03,863.92,40.54
Jajpur,844.87,501.16,59.32,321.85,42.41,13.18,402.32,165.40,41.11,80.46,2.87,3.57,0.00,5.79,,4023.17,1979.91,49.21
Jharsuguda,986.00,453.32,45.98,127.50,78.89,61.88,318.74,288.65,90.56,114.75,1.49,1.30,0.00,3.19,,3614.41,1844.49,51.03
Kalahandi,0.00,260.36,,1164.50,16.63,1.43,0.00,30.23,,0.00,0.42,,0.00,1.85,,1583.41,1144.62,72.29
Kandhamal,102.00,61.63,60.42,0.00,2.69,,0.00,9.56,,3.47,0.61,17.71,0.00,1.02,,631.19,269.34,42.67
Kendrapara,221.00,214.77,97.18,8.50,13.41,157.76,122.40,27.78,22.70,14.07,3.15,22.38,0.00,3.11,,1290.41,813.62,63.05
Keonjhar,574.60,761.63,132.55,828.75,124.22,14.99,1938.00,178.79,9.23,47.49,4.87,10.26,0.00,8.11,,3438.05,2177.79,63.34
Khordha,9180.00,4142.05,45.12,2443.75,2723.25,111.44,15555.00,3639.35,23.40,7.65,6.60,86.24,0.00,89.46,,32954.50,18862.57,57.24
Koraput,92.39,355.66,384.97,468.99,72.00,15.35,1809.67,125.13,6.91,4.74,2.21,46.69,0.00,4.15,,2556.35,1444.49,56.51
Malkangiri,127.50,43.01,33.74,51.00,0.18,0.35,2.55,7.38,289.32,7.33,0.69,9.38,0.00,0.47,,279.21,222.38,79.65
Mayurbhanj,350.20,155.19,44.31,204.00,26.00,12.74,344.25,44.66,12.97,49.73,10.01,20.13,0.00,4.67,,2247.23,1185.68,52.76
Nabarangpur,147.87,62.81,42.48,25.50,0.54,2.13,56.10,3.26,5.81,67.15,0.06,0.10,0.00,1.27,,631.21,381.34,60.41
Nayagarh,136.17,67.61,49.65,51.51,11.56,22.45,167.41,19.89,11.88,28.94,2.90,10.03,0.00,6.81,,1062.34,570.27,53.68
Nuapada,81.60,41.18,50.46,72.25,0.52,0.72,107.10,6.34,5.92,0.00,1.04,,0.00,0.95,,480.82,248.57,51.70
Puri,372.57,158.00,42.41,209.57,37.64,17.96,256.15,27.62,10.78,46.57,3.89,8.36,69.86,7.67,10.99,2328.53,1124.66,48.30
Rayagada,341.70,138.37,40.49,429.25,0.14,0.03,573.75,0.22,0.04,0.00,1.87,,0.00,5.53,,1714.19,615.13,35.88
Sambalpur,865.30,658.31,76.08,301.75,91.51,30.33,484.50,153.82,31.75,19.51,1.64,8.42,0.00,9.69,,3936.99,2325.07,59.06
Subarnapur,132.60,147.60,111.31,55.25,2.36,4.27,109.65,4.34,3.96,178.50,4.40,2.46,0.00,2.21,,794.33,380.37,47.89
Sundargarh,9806.73,1504.83,15.34,2416.95,1541.20,63.77,784.38,1697.57,216.42,330.87,5.25,1.59,0.00,24.79,,18006.21,7860.77,43.66
