district,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_acc,"of_which,_no_of_women_accounts",debit_rupay_cards_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts
Angul,999529,420907,803433,80.38,307892,73.15,269808.4851,26.99,74004.24439,17.58
Balangir,1117929,523620,886438,79.29,380141,72.60,215315,19.26,63912,12.21
Balasore,1688683,772081,1322807,78.33,557898,72.26,387172.5789,22.93,110673.754,14.33
Bargarh,1132589,552713,874248,77.19,391793,70.89,230260,20.33,81448,14.74
Bhadrak,1184297,584355,989139,83.52,470161,80.46,234403.2479,19.79,68369.10898,11.70
Boudh,320402,147854,216333,67.52,83265,56.32,61032,19.05,20709,14.01
Cuttack,2361162,1119563,1878355,79.55,837473,74.80,635239.5424,26.90,216270.9073,19.32
Deogarh,190194,90078,134287,70.61,54864,60.91,56875,29.90,19181,21.29
Dhenkanal,853237,365713,694253,81.37,274263,74.99,190623,22.34,52519,14.36
Gajapati,420635,217432,271615,64.57,122710,56.44,81249,19.32,25964,11.94
Ganjam,2275893,1050943,1811242,79.58,762582,72.56,640900.851,28.16,193516.9903,18.41
Jagatsinghpur,906607,413956,687065,75.78,285193,68.89,217934.8565,24.04,66968.751,16.18
Jajpur,1718610,900376,1398030,81.35,711477,79.02,329414.0974,19.17,90074.4996,10.00
Jharsuguda,510645,221204,404029,79.12,159599,72.15,171533,33.59,50348,22.76
Kalahandi,915347,434720,709744,77.54,308895,71.06,187514,20.49,57362,13.20
Kandhamal,455600,227129,321560,70.58,145511,64.07,107878,23.68,38898,17.13
Kendrapara,1095212,503543,875651,79.95,376899,74.85,226868,20.71,68448,13.59
Keonjhar,1147739,592090,960830,83.72,478522,80.82,239813,20.89,70747,11.95
Khordha,3074616,1408651,2524083,82.09,1060473,75.28,1332599.005,43.34,453544.0916,32.20
Koraput,724899,343647,523926,72.28,214633,62.46,192007,26.49,61455,17.88
Malkangiri,436357,179189,337655,77.38,116341,64.93,69092,15.83,23778,13.27
Mayurbhanj,1198419,586565,852388,71.13,375120,63.95,250237,20.88,85947,14.65
Nabarangpur,604391,282315,464727,76.89,190834,67.60,108058,17.88,37586,13.31
Nayagarh,589761,275102,458972,77.82,195640,71.12,138996,23.57,43633,15.86
Nuapada,410174,190483,286661,69.89,117473,61.67,73221,17.85,22327,11.72
Puri,1318382,632109,1058923,80.32,472481,74.75,291754.2056,22.13,98578.74354,15.60
Rayagada,567980,282580,400835,70.57,176972,62.63,124003,21.83,38892,13.76
Sambalpur,1017150,512588,735432,72.30,317316,61.90,285557,28.07,97949,19.11
Subarnapur,462436,218757,368532,79.69,160294,73.27,89209.85265,19.29,24785.75,11.33
Sundargarh,1892693,994279,1546830,81.73,798320,80.29,512590.0905,27.08,182094.9286,18.31
