district,period,atm_network__district,atm_network__total,branch_network__district,branch_network__total_branch,digital_transactions__digital_coverage_current_a_c,digital_transactions__digital_coverage_sb_a_c,digital_transactions__district,digital_transactions__of_such_accounts_out_of_total_operative_current_accounts,digital_transactions__of_such_accounts_out_of_total_operative_savings_accounts,digital_transactions__total_no_of_operative_current_accounts,digital_transactions__total_no_of_operative_sb_accounts
Gangtok,September 2023,Gangtok,124,Gangtok,89,8119,277548,Gangtok,81.00%,94.31%,10011,294290
Gyalshing,September 2023,Gyalshing,17,Gyalshing,16,,,,,,,
Mangan,September 2023,Mangan,17,Mangan,16,512,33388,Mangan,79.75%,90.88%,642,36682
Namchi,September 2023,Namchi,43,Namchi,41,469,71399,Namchi,36.95%,96.73,1269,73811
Pakyong,September 2023,Pakyong,32,Pakyong,24,743,76838,Pakyong,91.05%,98.57%,816,77950
Soreng,September 2023,Soreng,5,Soreng,8,389,40344,Soreng,86.83%,99.62%,448,40496
Gangtok,June 2024,Gangtok,124,Gangtok,90,10083,334830,Gangtok,87.62%,97.30%,11508,344124
Gyalshing,June 2024,Gyalshing,17,Gyalshing,16,1333,74488,Gyalshing,94.47%,95.91%,1411,77668
Mangan,June 2024,Mangan,17,Mangan,16,882,46126,Mangan,89.18%,92.84%,989,49682
Namchi,June 2024,Namchi,43,Namchi,41,9230,146513,Namchi,95.99%,95.15%,9616,153989
Pakyong,June 2024,Pakyong,35,Pakyong,26,1977,111248,Pakyong,88.06%,88.33%,2245,125943
Soreng,June 2024,Soreng,5,Soreng,8,398,79886,Soreng,61.14%,91.77%,651,87047
Gangtok,September 2024,Gangtok,124,Gangtok,90,10207,334894,Gangtok,88.55%,97.31%,11527,344153
Gyalshing,September 2024,Gyalshing,17,Gyalshing,16,1339,75182,Gyalshing,93.12%,95.89%,1438,78404
Mangan,September 2024,Mangan,17,Mangan,16,936,46779,Mangan,91.59%,92.63%,1022,50501
Namchi,September 2024,Namchi,43,Namchi,41,9217,149412,Namchi,95.06%,96.97%,9696,154083
Pakyong,September 2024,Pakyong,35,Pakyong,27,2055,115402,Pakyong,90.93%,90.05%,2260,128150
Soreng,September 2024,Soreng,5,Soreng,9,629,89426,Soreng,86.76%,92.17%,725,97021
Gangtok,March 2025,Gangtok,129,Gangtok,92,10937,336809,Gangtok,90.59%,96.93%,12073,347466
Gyalshing,March 2025,Gyalshing,17,Gyalshing,17,1450,76099,Gyalshing,93.25%,95.81%,1555,79424
Mangan,March 2025,Mangan,17,Mangan,16,980,47157,Mangan,92.72%,92.99%,1057,50712
Namchi,March 2025,Namchi,43,Namchi,41,8835,146936,Namchi,94.50%,93.05%,9349,157909
Pakyong,March 2025,Pakyong,36,Pakyong,28,1890,115817,Pakyong,82.32%,89.49%,2296,129415
Soreng,March 2025,Soreng,6,Soreng,11,660,92453,Soreng,85.49%,89.15%,772,103704
