District,applications_received,applications_accepted,applications_sanctioned,applications_rejected,sum_of_pendency_more_than_15_days,pendency_more_than_15_days
Adilabad,154.0,154.0,14.0,140.0,0.0,0.0
Bhadradri Kothagudem,289.0,289.0,75.0,214.0,0.0,0.0
Hanumakonda,298.0,298.0,119.0,179.0,0.0,
Jagitial,144.0,144.0,96.0,48.0,0.0,0.0
Jangoan,16.0,16.0,11.0,5.0,0.0,0.0
Jayashankar Bhupalapally,18.0,18.0,3.0,15.0,0.0,
Jogulamba Gadwal,698.0,698.0,685.0,13.0,0.0,0.0
Kamareddy,210.0,210.0,56.0,154.0,0.0,0.0
Karimnagar,102.0,102.0,61.0,41.0,,0.0
Khammam,39.0,39.0,0.0,39.0,0.0,0.0
Kumuram Bheem Asifabad,70.0,70.0,47.0,23.0,0.0,0.0
Mahabubabad,191.0,191.0,20.0,171.0,0.0,
Mahabubnagar,151.0,151.0,27.0,124.0,0.0,0.0
Mancherial,344.0,341.0,139.0,201.0,1.0,
Medak,16.0,16.0,0.0,16.0,,0.0
Medchal Malkajgiri,226.0,226.0,56.0,170.0,0.0,0.0
Mulugu,5.0,5.0,0.0,5.0,0.0,
Nagarkurnool,823.0,823.0,10.0,813.0,0.0,
Nalgonda,2.0,2.0,2.0,0.0,,0.0
Narayanpet,123.0,123.0,43.0,80.0,0.0,0.0
Nirmal,38.0,38.0,12.0,26.0,0.0,
Nizamabad,261.0,261.0,44.0,92.0,2.0,
Peddapalli,44.0,44.0,42.0,2.0,0.0,
Rajanna Sircilla,96.0,96.0,18.0,78.0,0.0,0.0
Sangareddy,777.0,777.0,284.0,493.0,0.0,0.0
Siddipet,63.0,63.0,12.0,51.0,0.0,
Suryapet,405.0,405.0,252.0,153.0,0.0,0.0
Vikarabad,205.0,205.0,205.0,0.0,0.0,0.0
Wanaparthy,41.0,41.0,32.0,9.0,0.0,0.0
Warangal,2105.0,2105.0,997.0,782.0,219.0,175.0
Yadadri Bhuvanagiri,466.0,466.0,115.0,351.0,0.0,0.0
