District,for_q3_of_fy_2022_23_no,approved_amt,cumulative_as_on_31_12_2022_no
Adilabad,638.0,63.17,5554.0
Bhadradri Kothagudem,199.0,7.1,1063.0
Hyderabad,2912.0,550.29,67343.0
Jagitial,47.0,4.3,446.0
Jangoan,58.0,4.96,465.0
Jayashankar Bhupalapally,51.0,2.54,532.0
Jogulamba Gadwal,202.0,1.43,746.0
Kamareddy,35.0,2.84,1201.0
Karimnagar,504.0,28.4,9155.0
Khammam,571.0,22.73,9447.0
Mahabubabad,60.0,1.71,437.0
Mahabubnagar,769.0,33.23,12285.0
Mancherial,18.0,1.76,431.0
Medak,183.0,15.66,7151.0
Medchal Malkajgiri,151.0,25.69,1871.0
Nagarkurnool,38.0,4.77,240.0
Nalgonda,750.0,43.3,13622.0
Nirmal,32.0,4.17,931.0
Nizamabad,363.0,21.7,7613.0
Peddapalli,71.0,6.55,594.0
Rajanna Sircilla,35.0,5.54,472.0
Ranga Reddy,757.0,98.18,28416.0
Sangareddy,297.0,18.36,1357.0
Siddipet,131.0,10.75,921.0
Suryapet,146.0,10.49,1363.0
Vikarabad,40.0,1.63,622.0
Wanaparthy,16.0,2.1,195.0
Warangal,482.0,35.47,10593.0
Yadadri Bhuvanagiri,39.0,7.23,1027.0
