District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,110.0,1714.09,591.97,2333.28,4639.34,2352.28,1423.91,7487.76,11263.95,242.79
Bhadradri Kothagudem,179.0,1167.84,6147.31,0.99,7316.14,2184.97,7295.72,228.17,9708.86,132.7
Hanumakonda,169.0,848.22,668.56,14145.78,15662.56,1750.06,1784.76,16185.1,19719.92,125.9
Hyderabad,1149.0,7.8,237.5,416292.7,416538.0,241.42,2257.89,508293.7,510793.0,122.63
Jagitial,133.0,1750.54,2105.83,1854.73,5711.1,2920.79,2651.87,2354.46,7927.12,138.8
Jangoan,64.0,740.44,1182.89,6.14,1929.47,2067.01,2954.86,6.16,5028.03,260.59
Jayashankar Bhupalapally,49.0,586.16,1115.96,0.0,1702.12,1106.59,1268.64,6.57,2381.8,139.93
Jogulamba Gadwal,62.0,443.76,1457.72,0.0,1901.48,1507.53,2651.42,48.21,4207.16,221.26
Kamareddy,140.0,1277.29,2515.19,12.91,3805.39,2943.47,4535.62,108.95,7588.04,199.4
Karimnagar,224.0,3602.56,2063.94,6892.94,12559.44,4239.22,2520.45,9259.34,16019.01,127.55
Khammam,255.0,2134.9,1959.16,6159.31,10253.37,4987.95,4370.98,12099.21,21458.14,209.28
Kumuram Bheem Asifabad,56.0,1329.36,710.6,12.46,2052.42,1413.38,490.02,76.86,1980.26,96.48
Mahabubabad,74.0,486.18,1595.73,8.9,2090.81,1531.99,3961.26,86.61,5579.86,266.88
Mahabubnagar,140.0,960.09,884.69,3999.67,5844.45,2365.07,1986.47,6398.22,10749.76,183.93
Mancherial,128.0,2377.9,5043.05,339.19,7760.14,2290.49,5190.81,484.29,7965.59,102.65
Medak,111.0,971.98,1674.88,6.73,2653.59,2274.33,3398.33,629.12,6301.78,237.48
Medchal Malkajgiri,675.0,4062.46,8051.61,109519.1,121633.2,2926.43,9457.28,114029.9,126413.6,103.93
Mulugu,38.0,757.37,352.34,0.0,1109.71,1126.8,579.76,34.25,1740.81,156.87
Nagarkurnool,92.0,1112.67,1586.63,13.44,2712.74,2713.7,3676.41,337.2,6727.31,247.99
Nalgonda,235.0,2083.93,1383.36,6018.51,9485.8,5953.73,3561.13,11818.89,21333.75,224.9
Narayanpet,55.0,523.57,962.34,0.0,1485.91,1338.39,1577.7,39.53,2955.62,198.91
Nirmal,96.0,1422.75,1709.98,51.13,3183.86,2840.09,3670.69,336.4,6847.18,215.06
Nizamabad,288.0,3066.96,2230.52,5068.6,10366.08,6906.05,4429.84,7913.7,19249.59,185.7
Peddapalli,118.0,1917.78,2078.45,2956.62,6952.85,1936.02,3226.98,2100.5,7263.5,104.47
Rajanna Sircilla,75.0,1002.76,1941.73,730.16,3674.65,1942.48,2170.67,781.64,4894.79,133.2
Ranga Reddy,798.0,9850.88,5277.34,78236.7,93364.92,9409.77,7460.83,79115.88,95986.48,102.81
Sangareddy,252.0,6679.73,6792.69,5966.72,19439.14,5507.74,16532.47,7206.92,29247.13,150.45
Siddipet,157.0,1682.58,1708.33,1830.35,5221.26,3433.59,2955.57,2930.45,9319.61,178.49
Suryapet,163.0,1247.92,1784.94,1771.92,4804.78,3906.46,4733.64,4504.12,13144.22,273.57
Vikarabad,107.0,1173.52,1987.93,29.9,3191.35,2294.44,3139.72,176.98,5611.14,175.82
Wanaparthy,61.0,412.47,1543.96,12.46,1968.89,1161.74,2814.76,35.49,4011.99,203.77
Warangal,136.0,762.78,663.55,7091.14,8517.47,2248.62,2212.84,6900.66,11362.12,133.4
Yadadri Bhuvanagiri,113.0,1289.11,2365.56,77.78,3732.45,2817.48,4094.82,164.8,7077.1,189.61
