District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,19.0,0.0,0.0,765.1,4.0,8.12,600.0,37.29,39.84,328.57,0.2,0.97,74.0,0.25,2.85,100.73,53.49,0.0,2965.1,572.21,3537.31,251.75,325.36,4114.42,1195.5,2577.3,47.01,0.0,49.27,93.6,20.61,8.77,0.0,5482.17
Bhadradri Kothagudem,15.0,0.0,0.0,748.77,9.11,6.33,1210.0,7.75,2.21,180.42,0.05,0.1,158.0,0.53,1.58,102.44,103.28,0.0,2423.76,1080.13,3503.89,109.65,341.07,3954.61,710.94,3095.53,59.05,0.0,143.92,350.83,48.62,33.57,0.0,5242.49
Hanumakonda,67.0,0.0,0.0,2871.45,21.27,28.14,2734.0,31.06,7.7,666.55,0.31,0.32,54.0,0.38,23.17,68.76,37.89,0.0,1736.46,994.4,2730.86,144.52,680.84,3556.22,3280.36,5008.43,67.56,0.0,75.58,403.2,96.22,1.64,0.0,7413.22
Hyderabad,279.0,172.41,39.2,67173.51,65.34,5.89,9589.0,936.07,30.81,7856.27,253.59,49.73,72.0,35.94,79.51,689.75,525.07,62.8,0.0,0.0,0.0,0.0,0.0,0.0,59758.43,67251.91,102.31,439.99,1108.88,3037.98,509.95,45.2,836.16,65736.59
Jagitial,51.0,0.0,0.0,646.11,11.48,31.77,1260.0,34.89,26.36,442.63,0.15,0.26,426.0,1.78,5.5,108.13,78.34,0.0,2484.99,850.95,3335.94,223.4,1111.58,4670.92,898.85,3260.74,55.87,8.51,36.14,132.37,56.63,32.38,0.0,5835.8
Jangoan,25.0,0.0,0.0,286.71,7.72,25.2,708.0,14.33,20.93,174.47,0.0,0.0,1.0,0.01,0.93,49.34,37.47,0.0,1840.07,940.93,2781.0,148.91,547.79,3477.7,459.65,2399.62,59.31,0.0,30.64,68.47,8.33,1.08,0.0,4045.87
Jayashankar Bhupalapally,,0.0,0.0,,7.03,39.03,,2.46,4.75,,0.0,0.0,,0.1,11.76,,16.13,0.0,1344.57,372.81,1717.38,99.1,238.94,2055.42,96.73,1092.86,48.91,0.0,18.01,51.76,11.52,0.85,0.0,2234.29
Jogulamba Gadwal,9.0,0.0,0.0,345.09,4.57,29.89,498.0,9.68,8.6,105.6,0.0,0.0,2.0,0.04,0.56,7.45,11.51,0.0,3520.34,667.56,4187.9,111.91,415.8,4715.61,474.49,2275.05,42.55,0.0,15.29,112.6,20.97,7.19,0.0,5346.15
Kamareddy,44.0,0.0,0.0,525.67,7.56,19.9,820.0,23.89,15.82,347.09,0.3,1.46,3.0,0.03,0.78,66.24,36.17,0.0,3856.02,840.28,4696.3,132.46,489.09,5317.85,701.06,3264.69,52.38,0.0,37.99,151.02,20.49,3.85,0.0,6232.26
Karimnagar,19.0,0.0,0.0,2648.64,11.18,25.11,1573.0,137.92,71.84,764.1,4.14,22.64,572.0,1.95,4.37,250.67,127.77,0.0,2628.83,1192.3,3821.13,119.49,759.27,4699.89,2997.07,5782.3,72.31,0.0,44.53,191.98,18.29,44.62,0.0,7996.38
Khammam,22.0,0.0,0.0,2286.3,24.63,39.06,2632.0,73.97,63.54,798.36,1.81,5.71,416.0,7.67,38.99,230.43,167.42,0.0,3817.92,2358.57,6176.49,144.63,703.14,7024.26,2591.52,7818.81,79.41,0.0,63.05,116.41,31.68,19.67,0.0,9846.59
Kumuram Bheem Asifabad,6.0,0.0,0.0,169.12,1.12,2.92,146.0,2.14,2.74,39.31,0.0,0.0,30.0,0.02,0.18,25.68,14.03,0.0,1987.28,363.53,2350.81,118.38,281.54,2750.73,260.02,1101.83,34.79,0.0,38.38,78.04,28.7,11.21,0.0,3167.08
Mahabubabad,14.0,0.0,0.0,334.63,7.06,52.34,690.0,6.37,25.42,135.33,0.94,10.12,9.0,0.14,11.97,70.06,67.07,0.0,2041.79,840.31,2882.1,137.76,714.76,3734.62,701.92,3006.69,67.03,0.0,13.49,25.06,9.29,1.17,0.0,4485.55
