District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,201669.0,12.04,48.65,231.5,4.63,24.64,126.0,165.19,48.21,975.61,398.28,90.51,58874.0,708.78,63.92,3114.92,1288.94,66.61,24.75,18.79,342.62,440.06,1108.88,1935.1
Bhadradri Kothagudem,317694.0,21.49,87.5,386.94,9.02,35.53,213.0,186.47,79.82,965.14,976.96,142.41,145021.0,1950.33,105.58,5928.35,3144.28,111.62,24.56,25.39,233.62,686.0,1847.31,2816.88
Hanumakonda,216022.0,51.92,10.66,208.71,27.53,36.71,870.0,735.19,72.73,4304.89,1515.92,135.39,186053.0,2111.64,44.33,10908.49,4442.2,59.58,487.17,75.0,1010.82,1119.66,4763.7,7456.35
Hyderabad,219218.0,5962.42,0.0,212.95,362.06,45.07,7906.0,11335.2,75.65,57354.97,11823.77,112.79,2634968.0,252200.54,92.51,423114.04,281683.99,94.25,0.0,803.27,14983.1,10483.0,272615.0,298884.0
Jagitial,264845.0,20.55,37.61,370.46,14.42,60.08,346.0,116.51,58.43,717.58,819.1,129.1,123900.0,852.72,68.05,3413.41,1823.3,84.2,54.64,24.0,199.39,634.49,1253.0,2165.52
Jangoan,178770.0,17.28,35.84,150.75,4.69,52.93,104.0,108.07,68.95,590.1,310.64,164.2,38921.0,435.37,98.24,1925.15,876.05,103.53,48.21,8.86,156.73,189.18,443.17,846.15
Jayashankar Bhupalapally,,0.69,61.06,,1.66,43.92,,36.7,56.66,,239.88,147.86,,355.89,117.04,,634.83,118.44,1.13,3.78,64.77,162.24,304.07,535.99
Jogulamba Gadwal,164032.0,13.22,25.41,147.16,5.39,79.26,87.0,71.98,70.96,403.97,345.6,199.34,33062.0,374.97,95.01,1600.57,811.16,111.38,52.03,6.8,101.44,173.37,394.67,728.31
Kamareddy,339446.0,10.13,58.39,395.67,5.59,51.05,154.0,167.65,71.56,880.22,584.81,148.7,64877.0,763.07,137.47,2977.05,1531.24,126.45,17.35,10.95,234.28,393.27,555.08,1210.93
Karimnagar,280221.0,54.42,34.66,301.13,30.45,48.69,805.0,480.43,76.37,2582.91,1197.41,115.92,217674.0,2276.39,94.57,8670.23,4039.11,94.18,157.01,62.54,629.07,1032.96,2407.17,4288.75
Khammam,554053.0,77.16,115.7,689.64,46.59,46.07,1243.0,648.75,61.87,4273.03,1433.8,208.07,202616.0,2752.31,99.1,11353.18,4958.61,105.89,66.68,101.13,1048.63,689.11,2777.25,4682.8
Kumuram Bheem Asifabad,112000.0,1.46,8.24,137.57,0.3,28.85,10.0,30.99,74.58,147.43,92.8,113.87,14987.0,219.1,144.04,646.73,344.66,117.27,17.71,1.04,41.55,81.5,152.11,293.91
Mahabubabad,270927.0,3.13,10.13,235.33,2.48,28.18,128.0,71.44,61.29,376.62,382.59,235.72,61786.0,665.38,138.27,1869.94,1125.02,140.66,30.91,8.8,116.56,162.31,481.21,799.79
