District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,131.0,31.0,33.0,0.0,195.0,262.0
Aligarh,61.0,3.0,18.0,0.0,82.0,122.0
Ambedkar Nagar,24.0,1.0,2.0,0.0,27.0,48.0
Amethi,32.0,1.0,6.0,0.0,39.0,64.0
Auraiya,17.0,0.0,2.0,0.0,19.0,34.0
Ayodhya,64.0,5.0,10.0,0.0,79.0,128.0
Azamgarh,47.0,3.0,4.0,0.0,54.0,94.0
Baghpat,61.0,2.0,6.0,0.0,69.0,122.0
Bahraich,42.0,3.0,18.0,0.0,63.0,84.0
Ballia,19.0,1.0,2.0,0.0,22.0,38.0
Balrampur,3.0,0.0,0.0,0.0,3.0,6.0
Banda,36.0,1.0,18.0,1.0,56.0,72.0
Barabanki,45.0,13.0,11.0,0.0,69.0,90.0
Bareilly,115.0,5.0,10.0,0.0,130.0,230.0
Basti,10.0,0.0,0.0,0.0,10.0,20.0
Bijnor,83.0,16.0,10.0,2.0,111.0,166.0
Budaun,24.0,3.0,6.0,0.0,33.0,48.0
Bulandshahr,89.0,12.0,27.0,1.0,129.0,178.0
Chandauli,23.0,2.0,4.0,0.0,29.0,46.0
Chitrakoot,7.0,2.0,2.0,1.0,12.0,14.0
Deoria,11.0,2.0,0.0,0.0,13.0,22.0
Etah,30.0,4.0,14.0,0.0,48.0,60.0
Etawah,41.0,0.0,0.0,0.0,41.0,82.0
Farrukhabad,24.0,10.0,12.0,0.0,46.0,48.0
Fatehpur,40.0,2.0,4.0,0.0,46.0,80.0
Firozabad,31.0,8.0,5.0,0.0,44.0,62.0
Gautam Buddha Nagar,73.0,5.0,12.0,0.0,90.0,146.0
Ghaziabad,128.0,5.0,27.0,0.0,160.0,256.0
Ghazipur,35.0,2.0,2.0,0.0,39.0,70.0
Gonda,16.0,1.0,5.0,0.0,22.0,32.0
Gorakhpur,38.0,2.0,7.0,1.0,48.0,76.0
Hamirpur,12.0,0.0,2.0,0.0,14.0,24.0
Hapur,26.0,1.0,6.0,0.0,33.0,52.0
Hardoi,36.0,14.0,16.0,0.0,66.0,72.0
Jalaun,47.0,6.0,20.0,0.0,73.0,94.0
Jaunpur,38.0,3.0,10.0,0.0,51.0,76.0
Jhansi,24.0,1.0,9.0,0.0,34.0,48.0
Kannauj,18.0,14.0,11.0,0.0,43.0,36.0
Kanpur Dehat,33.0,1.0,0.0,0.0,34.0,66.0
Kanpur Nagar,703331.0,129183.0,832514.0,,,
Kaushambi,15.0,0.0,4.0,0.0,19.0,30.0
Kheri,75.0,9.0,15.0,0.0,99.0,150.0
Kushi Nagar,8.0,0.0,6.0,0.0,14.0,16.0
Lalitpur,11.0,0.0,2.0,0.0,13.0,22.0
Lucknow,194.0,14.0,51.0,3.0,262.0,388.0
Mahoba,18.0,11.0,22.0,0.0,51.0,36.0
Mainpuri,71.0,6.0,6.0,1.0,84.0,142.0
Mathura,81.0,11.0,15.0,3.0,110.0,162.0
Mau,16.0,2.0,4.0,0.0,22.0,32.0
Meerut,137.0,18.0,24.0,1.0,180.0,274.0
Mirzapur,57.0,2.0,26.0,0.0,85.0,114.0
Moradabad,63.0,1.0,7.0,0.0,71.0,126.0
Muzaffarnagar,89.0,7.0,17.0,0.0,113.0,178.0
Pilibhit,44.0,2.0,8.0,0.0,54.0,88.0
Pratapgarh,30.0,1.0,2.0,0.0,33.0,60.0
Prayagraj,50.0,7.0,18.0,0.0,75.0,100.0
Rae Bareli,66.0,3.0,7.0,2.0,78.0,132.0
Rampur,44.0,0.0,5.0,0.0,49.0,88.0
Saharanpur,68.0,6.0,12.0,2.0,88.0,136.0
Sambhal,8.0,2.0,1.0,0.0,11.0,16.0
Sant Kabeer Nagar,4.0,0.0,1.0,0.0,5.0,8.0
Shahjahanpur,53.0,1.0,6.0,0.0,60.0,106.0
Shamli,25.0,3.0,8.0,1.0,37.0,50.0
Shravasti,8.0,0.0,2.0,0.0,10.0,16.0
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,18.0
Sitapur,55.0,5.0,25.0,0.0,85.0,110.0
Sonbhadra,32.0,0.0,11.0,2.0,45.0,64.0
Sultanpur,31.0,0.0,2.0,0.0,33.0,62.0
Unnao,34.0,10.0,11.0,0.0,55.0,68.0
Varanasi,71.0,3.0,9.0,0.0,83.0,142.0
