District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,1770.0,938.0,286.0,150.71,8.08,9.91
Aligarh,2420.0,1280.62,117.0,52.3,3.14,1.42
Ambedkar Nagar,1560.0,826.79,572.0,164.05,20.13,9.03
Amethi,260.0,139.3,487.0,242.41,50.38,36.78
Amroha,110.0,60.66,2051.0,844.26,100.0,35.16
Auraiya,1800.0,950.36,172.0,34.44,6.44,1.97
Ayodhya,220.0,116.83,317.0,70.52,47.27,25.78
Baghpat,1300.0,686.37,392.0,248.18,18.62,19.21
Bahraich,1560.0,823.42,72.0,26.65,1.54,1.14
Ballia,350.0,184.23,344.0,64.12,87.43,23.38
Balrampur,120.0,61.78,92.0,24.88,6.67,4.13
Banda,1290.0,685.25,59.0,9.61,1.09,0.72
Barabanki,1260.0,668.39,45.0,6.47,1.43,0.29
Bareilly,310.0,161.76,353.0,123.93,51.29,31.37
Basti,2180.0,1152.56,658.0,227.16,20.05,9.36
Bijnor,1860.0,982.93,264.0,120.36,5.97,2.25
Budaun,2310.0,1222.21,305.0,142.45,1.95,1.07
Bulandshahr,330.0,173.0,129.0,86.18,33.03,8.53
Chandauli,2090.0,1103.13,248.0,50.42,2.97,0.89
Etawah,1490.0,789.72,264.0,72.02,9.46,3.52
Farrukhabad,140.0,73.02,24.0,52.22,8.57,39.76
Firozabad,180.0,94.36,23.0,17.84,6.11,16.89
Gautam Buddha Nagar,90.0,47.18,75.0,28.42,57.78,17.13
Ghazipur,330.0,173.0,12.0,2.44,1.82,6.18
Gonda,330.0,173.0,273.0,117.21,9.39,9.6
Hamirpur,1980.0,1045.84,20.0,5.82,0.4,0.36
Hardoi,2050.0,1086.28,130.0,52.2,4.1,2.67
Jalaun,2570.0,1357.01,40.0,23.1,0.66,0.36
Jaunpur,430.0,229.16,153.0,32.25,3.26,4.53
Kannauj,1840.0,971.7,170.0,46.92,4.89,2.36
Kanpur Dehat,200.0,105.6,180.0,41.89,37.5,19.77
Kanpur Nagar,200.0,105.6,193.0,30.03,58.5,19.55
Lalitpur,1320.0,695.36,241.0,410.87,10.23,9.98
Lucknow,1330.0,705.47,198.0,96.1,13.31,16.0
Maharajganj,240.0,128.06,212.0,41.77,72.5,27.01
Mainpuri,1910.0,1011.02,117.0,39.11,4.19,2.15
Mathura,200.0,105.6,86.0,30.41,22.0,15.82
Mau,180.0,94.36,38.0,17.78,5.0,8.99
Meerut,240.0,128.06,110.0,43.03,29.17,13.4
Mirzapur,2120.0,1122.23,133.0,40.45,3.77,1.22
Muzaffarnagar,180.0,94.36,213.0,158.1,70.0,90.24
Pratapgarh,740.0,393.17,404.0,105.15,27.43,12.93
Prayagraj,2310.0,1222.21,1311.0,391.78,23.46,17.69
Rampur,120.0,61.78,1124.0,307.19,80.83,10.52
Shamli,1620.0,857.12,307.0,160.2,9.51,5.6
Shravasti,210.0,112.34,10.0,2.05,2.38,1.31
Sitapur,390.0,206.7,53.0,37.84,7.95,9.04
Sonbhadra,2790.0,1478.33,153.0,53.02,2.62,1.34
Sultanpur,3370.0,1782.76,1174.0,345.45,14.09,9.42
Unnao,2740.0,1449.13,167.0,25.43,4.93,1.41
Varanasi,2150.0,1146.94,496.0,192.53,7.81,5.46
