District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,937.0,61.0,2.0,33.0,1033.0,1874.0
Aligarh,163969.0,546817.0,710786.0,,,
Ambedkar Nagar,196.0,24.0,0.0,13.0,233.0,392.0
Amethi,109.0,10.0,0.0,13.0,132.0,218.0
Amroha,77387.0,209304.0,286691.0,,,
Auraiya,157.0,9.0,5.0,6.0,177.0,314.0
Ayodhya,130273.0,580324.0,710597.0,,,
Azamgarh,265.0,29.0,0.0,7.0,301.0,530.0
Baghpat,190.0,6.0,0.0,3.0,199.0,380.0
Bahraich,133704.0,265205.0,398909.0,,,
Ballia,235.0,9.0,1.0,4.0,249.0,470.0
Balrampur,93.0,3.0,0.0,0.0,96.0,186.0
Banda,198.0,29.0,1.0,12.0,240.0,396.0
Barabanki,778.0,62.0,0.0,16.0,856.0,1556.0
Bareilly,1020.0,92.0,5.0,98.0,1215.0,2040.0
Basti,139.0,7.0,0.0,2.0,148.0,278.0
Bhadohi,40015.0,196633.0,236648.0,,,
Bijnor,492.0,23.0,4.0,7.0,526.0,984.0
Budaun,308.0,16.0,2.0,14.0,340.0,616.0
Bulandshahr,465.0,39.0,6.0,18.0,528.0,930.0
Chandauli,47826.0,319594.0,367420.0,,,
Chitrakoot,42.0,7.0,0.0,0.0,49.0,84.0
Deoria,75238.0,288968.0,364206.0,,,
Etah,594.0,35.0,0.0,19.0,648.0,1188.0
Etawah,128.0,11.0,4.0,6.0,149.0,256.0
Farrukhabad,554.0,37.0,3.0,7.0,601.0,1108.0
Fatehpur,263.0,26.0,0.0,50.0,339.0,526.0
Firozabad,240.0,12.0,2.0,4.0,258.0,480.0
Ghaziabad,164603.0,441322.0,605925.0,,,
Ghazipur,70851.0,408179.0,479030.0,,,
Gonda,96096.0,297177.0,393273.0,,,
Gorakhpur,140914.0,515356.0,656270.0,,,
Hamirpur,47119.0,138766.0,185885.0,,,
Hapur,35882.0,113667.0,149549.0,,,
Hardoi,152803.0,484786.0,637589.0,,,
Jalaun,65831.0,215959.0,281790.0,,,
Jaunpur,269.0,15.0,0.0,6.0,290.0,538.0
Jhansi,58963.0,357359.0,416322.0,,,
Kannauj,71163.0,253168.0,324331.0,,,
Kanpur Dehat,60924.0,289226.0,350150.0,,,
Kanpur Nagar,731.0,43.0,5.0,20.0,799.0,1462.0
Kasganj,49188.0,218358.0,267546.0,,,
Kheri,76023.0,233970.0,309993.0,,,
Kushi Nagar,180.0,7.0,1.0,4.0,192.0,360.0
Lalitpur,29006.0,156073.0,185079.0,,,
Lucknow,258995.0,945858.0,1204853.0,,,
Mahoba,49186.0,85291.0,134477.0,,,
Mainpuri,68354.0,230028.0,298382.0,,,
Mathura,93602.0,319140.0,412742.0,,,
Mau,50854.0,202398.0,253252.0,,,
Meerut,124185.0,438217.0,562402.0,,,
Mirzapur,91996.0,255416.0,347412.0,,,
Moradabad,112237.0,391129.0,503366.0,,,
Muzaffarnagar,74457.0,308481.0,382938.0,,,
Pilibhit,68374.0,334021.0,402395.0,,,
Pratapgarh,109921.0,404187.0,514108.0,,,
Prayagraj,188154.0,1236997.0,1425151.0,,,
Rampur,531.0,32.0,5.0,29.0,597.0,1062.0
Saharanpur,76907.0,396114.0,473021.0,,,
Sambhal,403.0,37.0,5.0,39.0,484.0,806.0
Shahjahanpur,530.0,59.0,1.0,111.0,701.0,1060.0
Shamli,180.0,10.0,0.0,7.0,197.0,360.0
Shravasti,44863.0,76172.0,121035.0,,,
Siddharth Nagar,48697.0,297840.0,346537.0,,,
Sitapur,517.0,50.0,3.0,24.0,594.0,1034.0
Sonbhadra,75584.0,174895.0,250479.0,,,
Sultanpur,385.0,38.0,1.0,52.0,476.0,770.0
Unnao,122488.0,413896.0,536384.0,,,
Varanasi,146469.0,565862.0,712331.0,,,
