District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Amroha,14201.0,53.37,52.63,6788.0,89.57,85.61,912.0,73.27
Ayodhya,21514.0,76.83,76.57,18108.0,245.28,239.92,1949.0,163.16
Ballia,45396.0,173.71,173.43,35883.0,362.01,358.18,1453.0,119.61
Balrampur,6583.0,23.83,23.44,4849.0,83.47,80.77,1208.0,147.27
Banda,19625.0,73.55,73.12,10652.0,120.91,120.09,988.0,72.08
Barabanki,8406.0,29.57,29.32,7456.0,139.27,132.82,1884.0,143.0
Bareilly,40450.0,148.66,147.56,27321.0,,,,
Basti,30597.0,113.65,113.44,15216.0,171.32,170.0,1151.0,92.85
Bhadohi,19631.0,74.84,74.42,15008.0,182.98,180.52,935.0,74.09
Bijnor,44657.0,175.98,174.74,30939.0,300.27,294.85,2512.0,193.18
Budaun,20482.0,80.78,80.24,10614.0,124.27,120.98,1365.0,104.69
Bulandshahr,40185.0,158.99,158.65,29498.0,,,,
Chandauli,24307.0,91.12,86.58,16381.0,182.23,177.3,917.0,75.08
Chitrakoot,10957.0,42.22,41.43,8094.0,81.8,80.94,1029.0,70.34
Deoria,50567.0,193.41,193.11,32129.0,318.62,2197.0,179.18,172.5
Etah,9804.0,37.14,36.84,5909.0,74.95,74.05,756.0,58.08
Etawah,2868.0,8.68,8.41,6193.0,91.15,88.16,827.0,67.72
Farrukhabad,5327.0,18.72,18.61,5536.0,84.92,82.01,902.0,70.81
Firozabad,23504.0,83.83,83.18,16326.0,177.95,175.48,1455.0,114.39
Gautam Buddha Nagar,5975.0,21.85,21.44,6570.0,126.26,122.27,2765.0,1752.73
Ghaziabad,21537.0,72.98,72.58,19273.0,237.44,233.24,3041.0,249.91
Ghazipur,41380.0,158.73,157.83,28638.0,311.94,308.3,2042.0,166.52
Gonda,17939.0,65.61,65.25,9366.0,141.54,136.64,1701.0,131.16
Gorakhpur,99343.0,374.93,374.22,68523.0,669.66,666.52,4142.0,342.59
Hamirpur,17230.0,64.03,63.33,7990.0,82.95,82.67,363.0,27.89
Hapur,18764.0,72.48,71.53,13945.0,146.61,144.04,881.0,70.47
Hardoi,15663.0,61.27,60.38,7000.0,134.13,128.32,1705.0,133.5
Hathras,10853.0,40.13,39.69,10075.0,104.27,102.48,815.0,65.94
Jalaun,14223.0,50.61,50.25,6631.0,83.77,82.87,972.0,70.57
Jaunpur,55550.0,218.83,213.6,30778.0,330.75,325.33,2180.0,178.3
Jhansi,38212.0,129.82,129.04,17772.0,180.49,176.49,1439.0,111.1
Kannauj,7111.0,27.19,26.91,7472.0,103.02,99.92,1262.0,90.91
Kanpur Dehat,4046.0,14.65,14.5,3955.0,73.57,72.71,752.0,62.1
Kanpur Nagar,13601.0,48.73,48.25,18103.0,320.88,317.04,4842.0,391.05
Kaushambi,13273.0,45.15,44.93,8520.0,114.43,113.22,823.0,66.32
Kheri,18638.0,70.49,69.89,9725.0,135.82,133.86,1525.0,114.75
Kushi Nagar,71442.0,268.8,268.09,42228.0,380.81,377.65,1605.0,129.88
Lalitpur,8806.0,32.4,32.3,2621.0,50.05,47.09,727.0,50.59
Lucknow,26847.0,85.18,84.46,24195.0,418.71,407.71,5513.0,520.53
Mahoba,10121.0,36.53,,,,,,
Mainpuri,2142.0,6.77,6.68,5850.0,109.23,105.79,1298.0,104.64
Mathura,30387.0,116.62,116.51,19760.0,201.34,199.62,1431.0,113.47
Mau,23196.0,85.07,84.91,16138.0,203.85,201.86,1292.0,105.35
Meerut,31283.0,115.44,114.83,26914.0,,,,
Mirzapur,36707.0,135.52,130.7,23103.0,234.95,230.46,2026.0,154.2
Moradabad,23850.0,94.02,92.89,18503.0,233.88,226.89,2497.0,198.81
Muzaffarnagar,47103.0,179.92,177.67,31871.0,321.22,311.3,1825.0,149.32
Pilibhit,4988.0,19.07,18.83,5309.0,82.85,81.09,746.0,59.88
Pratapgarh,19185.0,71.54,71.42,16328.0,186.01,184.89,782.0,60.29
Rae Bareli,22623.0,80.24,,,,,,
Rampur,13689.0,48.6,47.85,13666.0,149.28,145.67,1104.0,87.42
Saharanpur,79930.0,299.06,298.28,55876.0,500.66,496.19,2039.0,166.31
Sambhal,13671.0,52.79,51.1,8557.0,84.29,81.52,990.0,74.89
Sant Kabeer Nagar,16744.0,62.82,62.49,9366.0,114.93,113.89,950.0,76.7
Shahjahanpur,16262.0,62.06,61.6,8838.0,131.09,129.86,1292.0,108.9
Shamli,14581.0,56.12,55.62,10647.0,107.22,105.01,583.0,46.68
Shravasti,6077.0,20.93,20.87,2112.0,43.64,42.65,754.0,55.3
Siddharth Nagar,14722.0,52.38,52.17,7692.0,116.57,115.35,1090.0,89.67
Sitapur,20997.0,73.93,73.58,8763.0,133.94,131.05,1714.0,133.09
Sonbhadra,43952.0,158.74,158.25,24445.0,211.43,210.38,1227.0,99.81
Sultanpur,20041.0,75.91,75.72,13546.0,178.98,1468.0,124.09,123.25
Unnao,9748.0,36.22,35.66,7905.0,118.33,114.52,1319.0,101.56
Varanasi,78400.0,295.36,293.74,49980.0,562.67,556.59,4401.0,363.49
