district,no_of_bank_branches_per_one_lakh_population_i_no,no_of_bc_csp_outlets_per_one_lakh_population_ii_no,no_of_atms_per_one_lakh_population_iii_no,no_of_bank_branches_per_one_lakh_population,no_of_bc_outlets_per_one_lakh_population_ii,no_of_atms_per_one_lakh_population_iii
Almora,24,32,25,24,32,25
Bageshwar,20,26,14,20,26,14
Chamoli,25,27,20,25,27,20
Champawat,23,26,22,23,26,22
Dehradun,35,24,54,35,23,48
Haridwar,15,22,52,15,22,52
Nainital,27,32,35,27,32,35
Pauri Garhwal,29,22,22,29,22,22
Pithoragarh,22,24,15,22,24,15
Rudraprayag,24,24,10,24,24,10
Tehri Garhwal,22,21,24,22,21,24
Udham Singh Nagar,20,24,40,20,24,40
Uttarkashi,21,34,26,21,34,26
