district,no_of_financial_literacy_centres_flcs_i_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc_ii_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_beneffici_aries_ii_no,implementation_of_centre_for_financial_literacy_cfl_at_block_level_no_of_beneffic_iaries_iii_no,no_of_financial_literacy_centres_flcs,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1,48,1029,0,1,396,244,82,172
Bageshwar,1,29,706,0,1,166,340,215,266
Chamoli,1,52,1260,0,1,77,448,44,232
Champawat,1,31,865,0,1,83,475,31,211
Dehradun,1,222,6439,0,1,9,253,0,4
Haridwar,1,52,1402,0,1,74,388,21,141
Nainital,2,75,2232,0,2,42,348,42,119
Pauri Garhwal,1,34,355,0,1,1,526,13,433
Pithoragarh,1,29,769,0,1,147,398,72,129
Rudraprayag,1,54,1268,0,1,198,182,106,68
Tehri Garhwal,2,42,812,0,2,106,446,78,335
Udham Singh Nagar,2,0,0,0,2,84,380,22,162
Uttarkashi,1,21,474,0,1,64,508,17,331
