district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pmjdy_a_c_per_on_e_lakh_popu_lation_ii_no,no_of_wom_en_bsbda_per_one_lak_h_population_iii_march_june_2019_2020_2021,no_of_pmjdy_accounts_male,no_of_pmjdy_accounts_female,out_of_total_pmjdy_enrolment_of_pmjjby_male,out_of_total_pmjdy_enrolment_of_pmjjby_female,out_of_total_pmjdy_enrolment_of_pmsby_male,out_of_total_pmjdy_enrolment_of_pmsby_female,out_of_total_pmjdy_enrolment_of_apy_male,out_of_total_pmjdy_enrolment_of_apy_female,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,10688,18759,5136,54686,61669,11428,12887,47402,53453,7951,7340,13165,93580,15080,33661,156,33661,156
Bageshwar,10235,16753,5185,20459,23076,4337,4891,21642,24406,2813,2596,11150,34830,181,12049,41,12049,41
Chamoli,11045,18981,6020,34660,39091,6583,7424,24229,27322,4115,3802,14450,59215,1159,20342,68,20342,68
Champawat,11695,19602,6385,23630,26657,4971,5604,23359,26341,2905,2681,14560,40665,137,13188,95,13188,95
Dehradun,19850,27948,9985,225324,244103,49636,53773,196495,212869,34613,28320,28745,402125,18620,36740,452,33175,409
Haridwar,37677,36371,18153,322574,349457,33718,36528,170173,184355,30483,24940,20980,581155,23165,109209,1741,90680,1445
Nainital,20710,26199,9580,119630,129600,22837,24741,122562,132777,16908,13833,23105,212060,5360,56866,637,50470,565
Pauri Garhwal,10890,17287,5385,55657,62764,12112,13660,56013,60681,9267,8554,13310,94980,1120,30395,98,30395,98
Pithoragarh,8835,13813,4920,31217,35203,9981,11256,42540,47970,5782,5337,15165,53360,490,32371,254,32371,254
Rudraprayag,10245,17367,5060,19608,22112,3493,3939,16018,18063,2015,2183,12960,33610,650,12861,37,13861,37
Tehri Garhwal,11845,19609,5820,56782,64031,8575,9670,51280,57827,6006,5545,14365,96850,1010,38743,166,38743,166
Udham Singh Nagar,23830,2885,1035,358116,387959,45938,49768,176988,191736,27047,22129,29745,640860,28165,143223,3926,118459,3253
Uttarkashi,17135,27634,9010,42788,48251,5450,6146,26834,30170,2403,2218,19285,73019,1390,33976,233,33976,233
