district,no_of_atm_cum_debit_cards_mar_21_i_no,no_of_atm_cum_debit_cards_21_i_no,no_of_internet_banking_subscribers_mar_20_ii_no,no_of_internet_banking_subscribers_mar_22_ii_no,no_of_internet_banking_subscribers_22_ii_no,no_of_mobile_banking_subscribers_mar_20_iii_no,no_of_mobile_banking_subscribers_mar_22_iii_no,no_of_mobile_banking_subscribers_22_iii_no,no_of_aeps_subscribers_mar_20_iv_no,no_of_aeps_subscribers_mar_22_iv_no,no_of_aeps_subscribers_22_iv_no
Almora,5.08,5.6,1.01,1.98,2.15,1.11,2.27,2.31,1.11,1.48,1.65
Bageshwar,2.27,2.41,1.2,1.31,1.34,0.8,0.88,0.9,0.8,0.9,0.96
Chamoli,3.95,3.98,1.32,1.48,1.53,1.08,1.21,1.28,1.08,1.22,1.3
Champawat,2.15,2.27,0.47,0.54,0.58,0.81,0.88,0.92,0.81,0.86,0.9
Dehradun,17.12,18.1,2.9,4.25,4.6,2.35,2.7,3.02,2.35,2.6,2.8
Haridwar,16.26,18.74,2.9,4.1,4.26,2.2,2.33,2.38,2.2,2.66,3.05
Nainital,6.55,7.35,2.16,3.07,3.47,1.01,1.73,1.91,1.01,1.73,1.91
Pauri Garhwal,4.15,4.29,1.5,1.78,1.79,1.21,1.34,1.4,1.21,1.38,1.45
Pithoragarh,3.2,4.02,0.66,1.35,1.6,0.44,0.86,0.92,0.44,0.78,0.88
Rudraprayag,2.23,2.28,0.13,0.19,0.22,0.32,0.45,0.52,0.32,0.45,0.51
Tehri Garhwal,4.75,4.8,1.42,1.58,1.59,0.55,0.84,0.91,0.55,0.84,0.91
Udham Singh Nagar,15.24,19.8,5.12,6.15,6.61,1.25,2.66,3.05,1.25,2.2,2.9
Uttarkashi,3.57,3.92,0.44,0.59,0.61,0.65,0.82,0.89,0.65,0.88,0.97
