district,no_of_financial_literacy_centres_flcs,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_20_no_of_flc,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_20_no_of_benefic_iaries,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_21_no_of_flc,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_21_no_of_benefic_iaries,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_22_no_of_flc,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_22_no_of_benefic_iaries,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_benefic_iaries,implementation_of_centre_for_financial_literacy_cfl_at_block_level_in_phase_i_no_of_benefic_iaries
Almora,1,152,4844,49,1029,11,283,21,577,4
Bageshwar,1,49,1702,29,706,74,1547,75,2161,1
Chamoli,1,83,2845,52,1260,35,838,66,1864,3
Champawat,1,62,1593,31,865,68,1726,65,3153,1
Dehradun,1,216,9315,222,6439,103,4885,113,5128,1
Haridwar,1,86,3264,52,1402,77,2078,64,2313,1
Nainital,,115,4595,75,2232,98,1762,203,3123,1
Pauri Garhwal,1,45,991,34,355,284,852,378,4536,5
Pithoragarh,1,47,1175,29,769,72,1728,69,1853,3
Rudraprayag,1,101,3497,54,1268,113,3567,153,4529,1
Tehri Garhwal,2,51,1213,42,812,60,983,64,1077,3
Udham Singh Nagar,2,76,2647,0,0,215,2250,220,2653,1
Uttarkashi,1,81,1569,21,474,38,695,64,1471,2
