district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,no_of_wom_en_bsbda_per_one_la_kh_population_iii_march_dec_2020_2021_2022,no_of_pmjdy_accounts_male,no_of_pmjdy_accounts_female,out_of_total_pmjdy_enrolment_of_pmjjby_male,out_of_total_pmjdy_enrolment_of_pmjjby_female,out_of_total_pmjdy_enrolment_of_pmsby_male,out_of_total_pmjdy_enrolment_of_pmsby_female,out_of_total_pmjdy_enrolment_of_apy_male,out_of_total_pmjdy_enrolment_of_apy_female,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii
Almora,11687,20490,5285,54686,61669,11428,12887,47402,53453,7951,7340,13890,110843,15421
Bageshwar,10375,19009,5352,20459,23076,4337,4891,21642,24406,2813,2596,12150,44745,196
Chamoli,11047,20044,6170,34660,39091,6583,7424,24229,27322,4115,3802,15048,60235,1303
Champawat,12010,22745,6520,23630,26657,4971,5604,23359,26341,2905,2681,16370,53190,148
Dehradun,21641,30504,10120,225324,244103,49636,53773,196495,212869,34613,28320,31980,462274,22985
Haridwar,42303,43571,19650,322574,349457,33718,36528,170173,184355,30483,24940,23316,723198,27730
Nainital,21897,28679,9750,119630,129600,22837,24741,122562,132777,16908,13833,23762,214003,5574
Pauri Garhwal,10898,19185,5520,55657,62764,12112,13660,56013,60681,9267,8554,13937,105836,1143
Pithoragarh,9428,15878,5080,31217,35203,9981,11256,42540,47970,5782,5337,18482,67120,870
Rudraprayag,13580,20431,5185,19608,22112,3493,3939,16018,18063,2015,2183,13786,36792,1031
Tehri Garhwal,12240,20975,5985,56782,64031,8575,9670,51280,57827,6006,5545,15224,114627,1125
Udham Singh Nagar,48650,51614,24150,358116,387959,45938,49768,176988,191736,27047,22129,31390,716650,33410
Uttarkashi,17546,29423,9215,42788,48251,5450,6146,26834,30170,2403,2218,21456,84430,1841
