district,amount_rs_inlakhs,amountof_subsidy_rsin_lakhs,disbursement_no_of_cases,no_ofcases_sponsored,pendingwith_bankfor_disbursement_no_of_cases,sanction_ed,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidyreleased_no_of_cases,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs
Alipurduar,2468.02,237.51,3548.0,8385.0,289.0,4013.0,2661.23,3884.0,11059.5
Bankura,7108.05,350.88,11219.0,28788.0,460.0,14614.0,8428.1,12436.0,33480.69
Birbhum,8065.82,320.4,14465.0,36967.0,506.0,19274.0,10415.19,15799.0,41869.27
Cooch Behar,5066.99,202.95,10425.0,24405.0,384.0,11994.0,5643.64,10991.0,22623.36
Dakshin Dinajpur,4689.17,67.64,9566.0,19116.0,122.0,10898.0,4627.56,10384.0,23481.99
Darjeeling,1570.78,87.2,2628.0,9217.0,75.0,3171.0,1641.77,2970.0,6548.19
Hooghly,7913.28,132.81,13893.0,36700.0,151.0,15828.0,9593.51,14442.0,36144.79
Howrah,4793.6,92.38,11099.0,33549.0,142.0,12005.0,4891.33,11752.0,20507.15
Jalpaiguri,5617.43,503.88,7942.0,16739.0,561.0,10126.0,6356.03,9267.0,32311.85
Kolkata,3988.81,193.04,7901.0,21960.0,223.0,9442.0,4026.31,9517.0,16539.93
Malda,6610.11,113.76,12279.0,54234.0,170.0,14008.0,7243.2,13041.0,35343.61
Murshidabad,9510.1,351.52,17236.0,37409.0,527.0,19472.0,10223.7,18718.0,44754.07
Nadia,6715.01,14.15,13063.0,37278.0,22.0,16039.0,8077.82,13720.0,33382.33
Paschim Medinipur,8974.47,105.98,13150.0,43646.0,90.0,17828.0,11875.28,13711.0,54357.94
Purba Medinipur,8599.58,216.75,13634.0,26133.0,311.0,15288.0,8790.47,14606.0,31593.42
Purulia,4616.24,187.81,7130.0,21931.0,250.0,8552.0,5306.99,7653.0,24150.67
Uttar Dinajpur,5175.61,316.57,8009.0,18614.0,422.0,9200.0,5445.9,8638.0,22291.64
