district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,46.0,1133.0,49.0,32.0,746.0,198.0
Bankura,112.0,1124.0,263.0,81.0,832.0,167.0
Birbhum,36.0,744.0,210.0,55.0,482.0,138.0
Cooch Behar,238.0,8166.0,141.0,132.0,5317.0,1318.0
Dakshin Dinajpur,74.0,1013.0,79.0,52.0,842.0,106.0
Darjeeling,82.0,2544.0,70.0,22.0,1487.0,567.0
Hooghly,108.0,6743.0,198.0,201.0,2867.0,1867.0
Howrah,118.0,4687.0,192.0,132.0,2286.0,1011.0
Jalpaiguri,32.0,1882.0,23.0,24.0,1002.0,411.0
Malda,46.0,1623.0,178.0,61.0,1088.0,241.0
Murshidabad,531.0,14162.0,254.0,206.0,10502.0,1864.0
Nadia,86.0,1674.0,204.0,87.0,812.0,536.0
Paschim Medinipur,116.0,10974.0,319.0,280.0,7117.0,1821.0
Purba Bardhaman,106.0,9034.0,349.0,108.0,5274.0,1784.0
Purba Medinipur,134.0,15746.0,291.0,58.0,10134.0,2284.0
Purulia,107.0,4228.0,121.0,76.0,2435.0,846.0
Uttar Dinajpur,43.0,882.0,93.0,48.0,612.0,186.0
