district,sum_of_aadhaar_seeded,sum_of_female_a_c,sum_of_male_a_c,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account
Alipurduar,36560.0,31964.0,26930.0,57950.0,32432.0,58894.0,23.49,26462.0,6961.0
Bankura,563331.0,629709.0,631842.0,1055736.0,1087108.0,1261551.0,345.87,174443.0,219207.0
Birbhum,662381.0,556301.0,702525.0,786270.0,947053.0,1258826.0,242.68,311773.0,247244.0
Dakshin Dinajpur,375121.0,339936.0,319587.0,559864.0,586624.0,659523.0,127.47,72899.0,162080.0
Jalpaiguri,643916.0,639253.0,537160.0,845704.0,626508.0,1176413.0,292.14,549905.0,221075.0
Kolkata,412563.0,352593.0,426879.0,728563.0,11298.0,779472.0,769.12,768174.0,177145.0
Malda,584526.0,810987.0,728570.0,1250057.0,1430410.0,1539557.0,410.56,109147.0,385105.0
Murshidabad,1077929.0,1143116.0,1066906.0,1559092.0,1438695.0,2210022.0,605.54,771327.0,380477.0
Nadia,715656.0,895105.0,850095.0,1420557.0,1080567.0,1745200.0,543.37,664633.0,299110.0
North 24 Parganas,1308003.0,1163606.0,1095606.0,1968751.0,1245163.0,2259212.0,1050.73,1014049.0,338702.0
Paschim Medinipur,576766.0,758885.0,773665.0,1265186.0,1244519.0,1532550.0,509.07,288031.0,263688.0
Purba Bardhaman,890991.0,744793.0,883162.0,1135308.0,1098487.0,1627955.0,588.62,529468.0,263240.0
Purba Medinipur,689365.0,695987.0,711078.0,1187470.0,1189828.0,1407065.0,463.21,217237.0,183433.0
South 24 Parganas,1057427.0,1215747.0,1145407.0,1869667.0,1857755.0,2361154.0,761.51,503399.0,327930.0
Uttar Dinajpur,464150.0,734825.0,679722.0,1159624.0,1116415.0,1414547.0,212.32,298132.0,445271.0
