district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,236.23,788.0,236.74,75154.0,4.0,75946.0
Bankura,291.99,4291.0,297.23,67278.0,740.0,72309.0
Birbhum,579.27,4788.0,584.53,166552.0,875.0,172215.0
Cooch Behar,578.37,4352.0,580.52,162916.0,341.0,167609.0
Dakshin Dinajpur,270.55,2482.0,276.58,92519.0,270.0,95271.0
Howrah,931.1,5414.0,939.9,286142.0,1305.0,292861.0
Jalpaiguri,494.57,4662.0,504.55,146552.0,733.0,151947.0
Kolkata,1928.55,12837.0,1965.57,712126.0,5663.0,730626.0
Malda,517.51,4764.0,524.29,146814.0,514.0,152092.0
Murshidabad,1182.58,6285.0,1206.39,393952.0,765.0,401002.0
Nadia,911.8,5796.0,925.66,295139.0,997.0,301932.0
North 24 Parganas,1449.65,10991.0,1470.81,393876.0,2307.0,407174.0
Paschim Medinipur,597.93,9554.0,612.42,121459.0,1355.0,132368.0
Purba Bardhaman,1268.46,10882.0,1288.3,331169.0,2936.0,344987.0
Purba Medinipur,534.26,6465.0,544.36,125097.0,951.0,132513.0
South 24 Parganas,1110.58,7474.0,1123.49,342224.0,1012.0,350710.0
Uttar Dinajpur,537.9,3218.0,543.6,161428.0,355.0,165001.0
