district,no_fo_shgs_credit_linked,no_of_active_shgs,sep_g,sep_g_sponsord_ot_bank_branches,sep_i,sep_i_sponsord_ot_bank_branches,shg_credit_linkage_sponsord_ot_bank_branches
Alipurduar,148.0,520.0,0.0,0.0,40.0,81.0,225.0
Bankura,10.0,903.0,0.0,0.0,33.0,97.0,107.0
Birbhum,56.0,1434.0,0.0,0.0,102.0,319.0,292.0
Cooch Behar,56.0,894.0,0.0,0.0,33.0,33.0,76.0
Dakshin Dinajpur,170.0,1114.0,9.0,0.0,0.0,83.0,305.0
Darjeeling,162.0,1157.0,0.0,0.0,123.0,309.0,313.0
Hooghly,22.0,2363.0,0.0,0.0,92.0,638.0,268.0
Howrah,0.0,368.0,0.0,4.0,3.0,165.0,25.0
Jalpaiguri,129.0,666.0,0.0,0.0,46.0,239.0,256.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,65.0,396.0,0.0,0.0,2.0,83.0,119.0
Murshidabad,77.0,2183.0,0.0,0.0,0.0,83.0,386.0
Nadia,111.0,3429.0,0.0,0.0,148.0,435.0,666.0
North 24 Parganas,317.0,8807.0,38.0,46.0,136.0,2011.0,1239.0
Paschim Medinipur,153.0,2024.0,0.0,0.0,63.0,226.0,786.0
Purba Bardhaman,,2331.0,0.0,0.0,39.0,236.0,
Purba Medinipur,93.0,1816.0,0.0,0.0,16.0,112.0,364.0
Purulia,62.0,460.0,0.0,0.0,71.0,196.0,136.0
South 24 Parganas,3.0,1316.0,0.0,0.0,17.0,140.0,72.0
Uttar Dinajpur,93.0,1075.0,42.0,74.0,79.0,336.0,179.0
