district,sum_of_aadhaar_seeded,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account
Alipurduar,42911.0,58546.0,32002.0,59335.0,21.19,27333.0,5736.0
Bankura,968107.0,1120733.0,1194812.0,1390996.0,410.14,196184.0,212598.0
Birbhum,1003853.0,854038.0,1015556.0,1362076.0,263.43,346520.0,252873.0
Dakshin Dinajpur,486843.0,590591.0,639305.0,718161.0,135.98,78856.0,124735.0
Jalpaiguri,982639.0,949054.0,711677.0,1327327.0,319.0,615650.0,201834.0
Kolkata,551316.0,740863.0,10136.0,818317.0,932.82,808181.0,111629.0
Malda,1141715.0,1339879.0,1579327.0,1699321.0,448.13,119994.0,278679.0
Murshidabad,1673975.0,1660150.0,1550841.0,2413651.0,629.35,862810.0,373208.0
Nadia,1203764.0,1488653.0,1148952.0,1875859.0,578.22,726907.0,276003.0
Paschim Medinipur,1314246.0,1353754.0,1402999.0,1732938.0,610.5,329939.0,189903.0
Purba Bardhaman,1318305.0,1227436.0,1182878.0,1778853.0,699.9,595975.0,277764.0
Purba Medinipur,1094319.0,1239819.0,1310907.0,1552903.0,504.32,241996.0,169126.0
Uttar Dinajpur,928921.0,1234798.0,1224536.0,1554778.0,226.59,330242.0,354236.0
