district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,56.0,1744.0,72.0,38.0,1421.0,220.0
Bankura,132.0,988.0,228.0,62.0,641.0,186.0
Birbhum,117.0,408.0,211.0,81.0,338.0,42.0
Cooch Behar,122.0,3587.0,150.0,98.0,2251.0,712.0
Dakshin Dinajpur,74.0,741.0,70.0,49.0,522.0,52.0
Darjeeling,42.0,1822.0,75.0,30.0,1512.0,274.0
Hooghly,162.0,3926.0,242.0,124.0,3142.0,622.0
Howrah,154.0,2744.0,194.0,100.0,2285.0,377.0
Jalpaiguri,51.0,965.0,79.0,34.0,644.0,122.0
Malda,88.0,1174.0,185.0,72.0,756.0,96.0
Murshidabad,170.0,4528.0,268.0,143.0,3044.0,855.0
Nadia,126.0,889.0,129.0,68.0,478.0,322.0
Paschim Medinipur,228.0,9214.0,328.0,152.0,6235.0,1421.0
Purba Bardhaman,168.0,3768.0,376.0,114.0,3274.0,388.0
Purba Medinipur,80.0,855.0,301.0,54.0,566.0,202.0
Purulia,91.0,1056.0,131.0,66.0,825.0,204.0
Uttar Dinajpur,60.0,622.0,94.0,36.0,415.0,71.0
