district,cumulative_amount_of_loan_disbursed_under_jlg_as_on,cumulative_no_of_jlgs_credit_linked_as_on,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_december,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_december,no_of_jlgs_target
Bankura,805.74,985.0,102.54,134.0,7200.0
Birbhum,2032.74,1615.0,243.64,126.0,6000.0
Cooch Behar,4065.87,4787.0,99.64,254.0,2400.0
Dakshin Dinajpur,955.62,859.0,107.65,95.0,1600.0
Darjeeling,891.6,652.0,83.94,101.0,800.0
Hooghly,681.97,4059.0,137.94,451.0,4000.0
Howrah,1420.11,1969.0,223.71,236.0,1600.0
Jalpaiguri,3099.31,3257.0,72.32,124.0,2000.0
Malda,586.22,1393.0,8.54,224.0,5600.0
Murshidabad,7178.94,13682.0,336.97,626.0,7200.0
Nadia,6077.34,6087.0,318.74,581.0,2000.0
Purba Bardhaman,4699.51,3682.0,85.36,120.0,8800.0
Purba Medinipur,4161.22,5248.0,520.67,781.0,6400.0
Purulia,2119.89,2232.0,30.91,140.0,4000.0
Uttar Dinajpur,3865.72,2622.0,38.77,74.0,3200.0
