district,no_of_candidates_trained,no_of_training_conducted,of_settlement,own,self_employed_bank,total_settled
Bankura,522.0,23.0,49.0,128.0,125.0,253.0
Birbhum,414.0,18.0,23.0,,321.0,93.0
Cooch Behar,336.0,18.0,41.0,65.0,71.0,136.0
Darjeeling,392.0,15.0,21.0,27.0,54.0,81.0
Hooghly,571.0,24.0,64.0,49.0,312.0,361.0
Howrah,1239.0,44.0,74.0,694.0,211.0,905.0
Jalpaiguri,326.0,13.0,3.0,9.0,,9.0
Malda,572.0,20.0,10.0,32.0,22.0,54.0
Nadia,467.0,17.0,63.0,108.0,185.0,293.0
North 24 Parganas,685.0,29.0,21.0,,140.0,140.0
Purba Bardhaman,451.0,19.0,25.0,47.0,64.0,111.0
Purba Medinipur,547.0,20.0,27.0,76.0,68.0,144.0
Purulia,353.0,15.0,16.0,14.0,42.0,56.0
South 24 Parganas,757.0,27.0,21.0,72.0,81.0,153.0
Uttar Dinajpur,283.0,13.0,37.0,92.0,12.0,104.0
